"interface_id"	"caller_path"	"symbol"	"source_lines"	"original_shape"	"unique_owner"	"x86_x64_disposition"	"failure_disposition"	"state"	"evidence"
"MVDM-T279-S1-IF-011"	"oemuni/file.c"	"GetVolumeInformationW"	"862,929"	"original public Win32W call and original OEM conversion ordering"	"direct public Win32"	"direct public Win32; HANDLE remains host-local"	"original GetLastError/INVALID_HANDLE_VALUE or BOOL/DWORD return retained"	"source-form-audited; build-not-enabled"	"src/opennt-mvdm-support/oemuni/file.c:862"
"MVDM-T279-S1-IF-012"	"oemuni/file.c"	"MoveFileExW"	"302,326,363"	"original public Win32W call and original OEM conversion ordering"	"direct public Win32"	"direct public Win32; HANDLE remains host-local"	"original GetLastError/INVALID_HANDLE_VALUE or BOOL/DWORD return retained"	"source-form-audited; build-not-enabled"	"src/opennt-mvdm-support/oemuni/file.c:302"
"MVDM-T279-S1-IF-013"	"oemuni/file.c"	"OutputDebugStringA"	"1006,1031"	"original public Win32W call and original OEM conversion ordering"	"direct public Win32"	"direct public Win32; HANDLE remains host-local"	"original GetLastError/INVALID_HANDLE_VALUE or BOOL/DWORD return retained"	"source-form-audited; build-not-enabled"	"src/opennt-mvdm-support/oemuni/file.c:1006"
"MVDM-T279-S1-IF-014"	"oemuni/file.c"	"RemoveDirectoryW"	"725,747"	"original public Win32W call and original OEM conversion ordering"	"direct public Win32"	"direct public Win32; HANDLE remains host-local"	"original GetLastError/INVALID_HANDLE_VALUE or BOOL/DWORD return retained"	"source-form-audited; build-not-enabled"	"src/opennt-mvdm-support/oemuni/file.c:725"
"MVDM-T279-S1-IF-015"	"oemuni/file.c"	"RemoveFontResourceW"	"1116,1137"	"original public Win32W call and original OEM conversion ordering"	"direct public Win32"	"direct public Win32; HANDLE remains host-local"	"original GetLastError/INVALID_HANDLE_VALUE or BOOL/DWORD return retained"	"source-form-audited; build-not-enabled"	"src/opennt-mvdm-support/oemuni/file.c:1116"
"MVDM-T279-S1-IF-016"	"oemuni/file.c"	"SetFileAttributesW"	"150,171"	"original public Win32W call and original OEM conversion ordering"	"direct public Win32"	"direct public Win32; HANDLE remains host-local"	"original GetLastError/INVALID_HANDLE_VALUE or BOOL/DWORD return retained"	"source-form-audited; build-not-enabled"	"src/opennt-mvdm-support/oemuni/file.c:150"
"MVDM-T279-S1-IF-017"	"oemuni/file.c"	"SetLastError"	"90,164,205,241,282,343,403,658,703,740,782,826,885,911,924,1071,1130"	"original public Win32W call and original OEM conversion ordering"	"direct public Win32"	"direct public Win32; HANDLE remains host-local"	"original GetLastError/INVALID_HANDLE_VALUE or BOOL/DWORD return retained"	"source-form-audited; build-not-enabled"	"src/opennt-mvdm-support/oemuni/file.c:90"
"MVDM-T279-S1-IF-018"	"oemuni/file.c"	"ARGUMENT_PRESENT"	"290,351,521,557,776,821,879,903,916,942,960"	"NT4 TEB/PEB and RTL string/heap/PEB-lock facade retains original declaration forms"	"adapter-win32"	"adapter-win32 keeps native pointers local; no pointer enters an OEM/guest 32-bit field"	"map NTSTATUS through original BaseSetLastNTError macro and preserve caller result"	"source-form-audited; build-not-enabled"	"src/opennt-mvdm-support/oemuni/file.c:290"
"MVDM-T279-S1-IF-019"	"oemuni/file.c"	"NtCurrentPeb"	"26"	"NT4 TEB/PEB and RTL string/heap/PEB-lock facade retains original declaration forms"	"adapter-win32"	"adapter-win32 keeps native pointers local; no pointer enters an OEM/guest 32-bit field"	"map NTSTATUS through original BaseSetLastNTError macro and preserve caller result"	"source-form-audited; build-not-enabled"	"src/opennt-mvdm-support/oemuni/file.c:26"
"MVDM-T279-S1-IF-020"	"oemuni/file.c"	"NtCurrentTeb"	"85,159,200,236,277,338,398,605,653,698,735,773,818,876,1125"	"NT4 TEB/PEB and RTL string/heap/PEB-lock facade retains original declaration forms"	"adapter-win32"	"adapter-win32 keeps native pointers local; no pointer enters an OEM/guest 32-bit field"	"map NTSTATUS through original BaseSetLastNTError macro and preserve caller result"	"source-form-audited; build-not-enabled"	"src/opennt-mvdm-support/oemuni/file.c:85"
"MVDM-T279-S1-IF-021"	"oemuni/file.c"	"RtlAcquirePebLock"	"39"	"NT4 TEB/PEB and RTL string/heap/PEB-lock facade retains original declaration forms"	"adapter-win32"	"adapter-win32 keeps native pointers local; no pointer enters an OEM/guest 32-bit field"	"map NTSTATUS through original BaseSetLastNTError macro and preserve caller result"	"source-form-audited; build-not-enabled"	"src/opennt-mvdm-support/oemuni/file.c:39"
"MVDM-T279-S1-IF-022"	"oemuni/file.c"	"RtlAllocateHeap"	"536,905,918,1069"	"NT4 TEB/PEB and RTL string/heap/PEB-lock facade retains original declaration forms"	"adapter-win32"	"adapter-win32 keeps native pointers local; no pointer enters an OEM/guest 32-bit field"	"map NTSTATUS through original BaseSetLastNTError macro and preserve caller result"	"source-form-audited; build-not-enabled"	"src/opennt-mvdm-support/oemuni/file.c:536"
"MVDM-T279-S1-IF-023"	"oemuni/file.c"	"RtlEqualUnicodeString"	"47"	"NT4 TEB/PEB and RTL string/heap/PEB-lock facade retains original declaration forms"	"adapter-win32"	"adapter-win32 keeps native pointers local; no pointer enters an OEM/guest 32-bit field"	"map NTSTATUS through original BaseSetLastNTError macro and preserve caller result"	"source-form-audited; build-not-enabled"	"src/opennt-mvdm-support/oemuni/file.c:47"
"MVDM-T279-S1-IF-024"	"oemuni/file.c"	"RtlFreeAnsiString"	"1040"	"NT4 TEB/PEB and RTL string/heap/PEB-lock facade retains original declaration forms"	"adapter-win32"	"adapter-win32 keeps native pointers local; no pointer enters an OEM/guest 32-bit field"	"map NTSTATUS through original BaseSetLastNTError macro and preserve caller result"	"source-form-audited; build-not-enabled"	"src/opennt-mvdm-support/oemuni/file.c:1040"
"MVDM-T279-S1-IF-025"	"oemuni/file.c"	"RtlFreeHeap"	"578,981,984,1088,1100"	"NT4 TEB/PEB and RTL string/heap/PEB-lock facade retains original declaration forms"	"adapter-win32"	"adapter-win32 keeps native pointers local; no pointer enters an OEM/guest 32-bit field"	"map NTSTATUS through original BaseSetLastNTError macro and preserve caller result"	"source-form-audited; build-not-enabled"	"src/opennt-mvdm-support/oemuni/file.c:578"
"MVDM-T279-S1-IF-026"	"oemuni/file.c"	"RtlFreeOemString"	"555"	"NT4 TEB/PEB and RTL string/heap/PEB-lock facade retains original declaration forms"	"adapter-win32"	"adapter-win32 keeps native pointers local; no pointer enters an OEM/guest 32-bit field"	"map NTSTATUS through original BaseSetLastNTError macro and preserve caller result"	"source-form-audited; build-not-enabled"	"src/opennt-mvdm-support/oemuni/file.c:555"
"MVDM-T279-S1-IF-027"	"oemuni/file.c"	"RtlFreeUnicodeString"	"307,368,531,538,577,1037"	"NT4 TEB/PEB and RTL string/heap/PEB-lock facade retains original declaration forms"	"adapter-win32"	"adapter-win32 keeps native pointers local; no pointer enters an OEM/guest 32-bit field"	"map NTSTATUS through original BaseSetLastNTError macro and preserve caller result"	"source-form-audited; build-not-enabled"	"src/opennt-mvdm-support/oemuni/file.c:307"
"MVDM-T279-S1-IF-028"	"oemuni/file.c"	"RtlGetCurrentDirectory_U"	"606"	"NT4 TEB/PEB and RTL string/heap/PEB-lock facade retains original declaration forms"	"adapter-win32"	"adapter-win32 keeps native pointers local; no pointer enters an OEM/guest 32-bit field"	"map NTSTATUS through original BaseSetLastNTError macro and preserve caller result"	"source-form-audited; build-not-enabled"	"src/opennt-mvdm-support/oemuni/file.c:606"
"MVDM-T279-S1-IF-029"	"oemuni/file.c"	"RtlGetFullPathName_U"	"543"	"NT4 TEB/PEB and RTL string/heap/PEB-lock facade retains original declaration forms"	"adapter-win32"	"adapter-win32 keeps native pointers local; no pointer enters an OEM/guest 32-bit field"	"map NTSTATUS through original BaseSetLastNTError macro and preserve caller result"	"source-form-audited; build-not-enabled"	"src/opennt-mvdm-support/oemuni/file.c:543"
"MVDM-T279-S1-IF-030"	"oemuni/file.c"	"RtlInitAnsiString"	"201"	"NT4 TEB/PEB and RTL string/heap/PEB-lock facade retains original declaration forms"	"adapter-win32"	"adapter-win32 keeps native pointers local; no pointer enters an OEM/guest 32-bit field"	"map NTSTATUS through original BaseSetLastNTError macro and preserve caller result"	"source-form-audited; build-not-enabled"	"src/opennt-mvdm-support/oemuni/file.c:201"
"MVDM-T279-S1-IF-031"	"oemuni/file.c"	"RtlInitString"	"528"	"NT4 TEB/PEB and RTL string/heap/PEB-lock facade retains original declaration forms"	"adapter-win32"	"adapter-win32 keeps native pointers local; no pointer enters an OEM/guest 32-bit field"	"map NTSTATUS through original BaseSetLastNTError macro and preserve caller result"	"source-form-audited; build-not-enabled"	"src/opennt-mvdm-support/oemuni/file.c:528"
"MVDM-T279-S1-IF-032"	"oemuni/file.c"	"RtlInitUnicodeString"	"419,424,472,477,551,943,961,1096"	"NT4 TEB/PEB and RTL string/heap/PEB-lock facade retains original declaration forms"	"adapter-win32"	"adapter-win32 keeps native pointers local; no pointer enters an OEM/guest 32-bit field"	"map NTSTATUS through original BaseSetLastNTError macro and preserve caller result"	"source-form-audited; build-not-enabled"	"src/opennt-mvdm-support/oemuni/file.c:419"
"MVDM-T279-S1-IF-033"	"oemuni/file.c"	"RtlMoveMemory"	"414,467,554"	"NT4 TEB/PEB and RTL string/heap/PEB-lock facade retains original declaration forms"	"adapter-win32"	"adapter-win32 keeps native pointers local; no pointer enters an OEM/guest 32-bit field"	"map NTSTATUS through original BaseSetLastNTError macro and preserve caller result"	"source-form-audited; build-not-enabled"	"src/opennt-mvdm-support/oemuni/file.c:414"
"MVDM-T279-S1-IF-034"	"oemuni/file.c"	"RtlOemStringToUnicodeString"	"87,161,202,238,279,292,340,353,400,529,655,700,737,779,823,882,1021,1127"	"NT4 TEB/PEB and RTL string/heap/PEB-lock facade retains original declaration forms"	"adapter-win32"	"adapter-win32 keeps native pointers local; no pointer enters an OEM/guest 32-bit field"	"map NTSTATUS through original BaseSetLastNTError macro and preserve caller result"	"source-form-audited; build-not-enabled"	"src/opennt-mvdm-support/oemuni/file.c:87"
"MVDM-T279-S1-IF-035"	"oemuni/file.c"	"RtlProcessHeap"	"536,578,906,919,981,984,1069,1088,1100"	"NT4 TEB/PEB and RTL string/heap/PEB-lock facade retains original declaration forms"	"adapter-win32"	"adapter-win32 keeps native pointers local; no pointer enters an OEM/guest 32-bit field"	"map NTSTATUS through original BaseSetLastNTError macro and preserve caller result"	"source-form-audited; build-not-enabled"	"src/opennt-mvdm-support/oemuni/file.c:536"
"MVDM-T279-S1-IF-036"	"oemuni/file.c"	"RtlReleasePebLock"	"50"	"NT4 TEB/PEB and RTL string/heap/PEB-lock facade retains original declaration forms"	"adapter-win32"	"adapter-win32 keeps native pointers local; no pointer enters an OEM/guest 32-bit field"	"map NTSTATUS through original BaseSetLastNTError macro and preserve caller result"	"source-form-audited; build-not-enabled"	"src/opennt-mvdm-support/oemuni/file.c:50"
"MVDM-T279-S1-IF-037"	"oemuni/file.c"	"RtlSetCurrentDirectory_U"	"667"	"NT4 TEB/PEB and RTL string/heap/PEB-lock facade retains original declaration forms"	"adapter-win32"	"adapter-win32 keeps native pointers local; no pointer enters an OEM/guest 32-bit field"	"map NTSTATUS through original BaseSetLastNTError macro and preserve caller result"	"source-form-audited; build-not-enabled"	"src/opennt-mvdm-support/oemuni/file.c:667"
"MVDM-T279-S1-IF-038"	"oemuni/file.c"	"RtlUnicodeStringToAnsiString"	"1026"	"NT4 TEB/PEB and RTL string/heap/PEB-lock facade retains original declaration forms"	"adapter-win32"	"adapter-win32 keeps native pointers local; no pointer enters an OEM/guest 32-bit field"	"map NTSTATUS through original BaseSetLastNTError macro and preserve caller result"	"source-form-audited; build-not-enabled"	"src/opennt-mvdm-support/oemuni/file.c:1026"
"MVDM-T279-S1-IF-039"	"oemuni/file.c"	"RtlUnicodeStringToOemString"	"422,427,475,480,552,614,948,966,1097"	"NT4 TEB/PEB and RTL string/heap/PEB-lock facade retains original declaration forms"	"adapter-win32"	"adapter-win32 keeps native pointers local; no pointer enters an OEM/guest 32-bit field"	"map NTSTATUS through original BaseSetLastNTError macro and preserve caller result"	"source-form-audited; build-not-enabled"	"src/opennt-mvdm-support/oemuni/file.c:422"
"MVDM-T279-S1-IF-040"	"oemuni/process.c"	"CreateProcessW"	"387,510"	"original public Win32W/A process/path/environment call and OEM conversion ordering"	"direct public Win32"	"direct public Win32; PROCESS_INFORMATION/HANDLE values remain host-local"	"original zero/BOOL/DWORD and GetLastError behavior retained"	"source-form-audited; build-not-enabled"	"src/opennt-mvdm-support/oemuni/process.c:387"
"MVDM-T279-S1-IF-041"	"oemuni/process.c"	"ExpandEnvironmentStrings"	"757,799"	"original public Win32W/A process/path/environment call and OEM conversion ordering"	"direct public Win32"	"direct public Win32; PROCESS_INFORMATION/HANDLE values remain host-local"	"original zero/BOOL/DWORD and GetLastError behavior retained"	"source-form-audited; build-not-enabled"	"src/opennt-mvdm-support/oemuni/process.c:757"
"MVDM-T279-S1-IF-042"	"oemuni/process.c"	"GetEnvironmentVariableA"	"613"	"original public Win32W/A process/path/environment call and OEM conversion ordering"	"direct public Win32"	"direct public Win32; PROCESS_INFORMATION/HANDLE values remain host-local"	"original zero/BOOL/DWORD and GetLastError behavior retained"	"source-form-audited; build-not-enabled"	"src/opennt-mvdm-support/oemuni/process.c:613"
"MVDM-T279-S1-IF-043"	"oemuni/process.c"	"GetShortPathNameW"	"851,890"	"original public Win32W/A process/path/environment call and OEM conversion ordering"	"direct public Win32"	"direct public Win32; PROCESS_INFORMATION/HANDLE values remain host-local"	"original zero/BOOL/DWORD and GetLastError behavior retained"	"source-form-audited; build-not-enabled"	"src/opennt-mvdm-support/oemuni/process.c:851"
"MVDM-T279-S1-IF-044"	"oemuni/process.c"	"GetSystemDirectoryW"	"25,44"	"original public Win32W/A process/path/environment call and OEM conversion ordering"	"direct public Win32"	"direct public Win32; PROCESS_INFORMATION/HANDLE values remain host-local"	"original zero/BOOL/DWORD and GetLastError behavior retained"	"source-form-audited; build-not-enabled"	"src/opennt-mvdm-support/oemuni/process.c:25"
"MVDM-T279-S1-IF-045"	"oemuni/process.c"	"GetTempFileNameW"	"306,346"	"original public Win32W/A process/path/environment call and OEM conversion ordering"	"direct public Win32"	"direct public Win32; PROCESS_INFORMATION/HANDLE values remain host-local"	"original zero/BOOL/DWORD and GetLastError behavior retained"	"source-form-audited; build-not-enabled"	"src/opennt-mvdm-support/oemuni/process.c:306"
"MVDM-T279-S1-IF-046"	"oemuni/process.c"	"GetTempPathW"	"254,272"	"original public Win32W/A process/path/environment call and OEM conversion ordering"	"direct public Win32"	"direct public Win32; PROCESS_INFORMATION/HANDLE values remain host-local"	"original zero/BOOL/DWORD and GetLastError behavior retained"	"source-form-audited; build-not-enabled"	"src/opennt-mvdm-support/oemuni/process.c:254"
"MVDM-T279-S1-IF-047"	"oemuni/process.c"	"GetWindowsDirectoryW"	"76,95"	"original public Win32W/A process/path/environment call and OEM conversion ordering"	"direct public Win32"	"direct public Win32; PROCESS_INFORMATION/HANDLE values remain host-local"	"original zero/BOOL/DWORD and GetLastError behavior retained"	"source-form-audited; build-not-enabled"	"src/opennt-mvdm-support/oemuni/process.c:76"
"MVDM-T279-S1-IF-048"	"oemuni/process.c"	"SearchPathW"	"130,200"	"original public Win32W/A process/path/environment call and OEM conversion ordering"	"direct public Win32"	"direct public Win32; PROCESS_INFORMATION/HANDLE values remain host-local"	"original zero/BOOL/DWORD and GetLastError behavior retained"	"source-form-audited; build-not-enabled"	"src/opennt-mvdm-support/oemuni/process.c:130"
"MVDM-T279-S1-IF-049"	"oemuni/process.c"	"SetEnvironmentVariableA"	"724"	"original public Win32W/A process/path/environment call and OEM conversion ordering"	"direct public Win32"	"direct public Win32; PROCESS_INFORMATION/HANDLE values remain host-local"	"original zero/BOOL/DWORD and GetLastError behavior retained"	"source-form-audited; build-not-enabled"	"src/opennt-mvdm-support/oemuni/process.c:724"
"MVDM-T279-S1-IF-050"	"oemuni/process.c"	"SetLastError"	"160,324,341,591,687,708,770,783,808,864,882"	"original public Win32W/A process/path/environment call and OEM conversion ordering"	"direct public Win32"	"direct public Win32; PROCESS_INFORMATION/HANDLE values remain host-local"	"original zero/BOOL/DWORD and GetLastError behavior retained"	"source-form-audited; build-not-enabled"	"src/opennt-mvdm-support/oemuni/process.c:160"
"MVDM-T279-S1-IF-051"	"oemuni/process.c"	"ARGUMENT_PRESENT"	"147,168,180,184,218,232,236,404,437,447,457,475,493,703,769,877,895"	"NT4 TEB and RTL string/heap facade retains original declaration forms"	"adapter-win32"	"adapter-win32 owns native temporary pointers and PEB/TEB access"	"map NTSTATUS through original BaseSetLastNTError macro and preserve caller result"	"source-form-audited; build-not-enabled"	"src/opennt-mvdm-support/oemuni/process.c:147"
"MVDM-T279-S1-IF-052"	"oemuni/process.c"	"ASSERT"	"431"	"NT4 TEB and RTL string/heap facade retains original declaration forms"	"adapter-win32"	"adapter-win32 owns native temporary pointers and PEB/TEB access"	"map NTSTATUS through original BaseSetLastNTError macro and preserve caller result"	"source-form-audited; build-not-enabled"	"src/opennt-mvdm-support/oemuni/process.c:431"
"MVDM-T279-S1-IF-053"	"oemuni/process.c"	"NtCurrentTeb"	"154,318,402,406"	"NT4 TEB and RTL string/heap facade retains original declaration forms"	"adapter-win32"	"adapter-win32 owns native temporary pointers and PEB/TEB access"	"map NTSTATUS through original BaseSetLastNTError macro and preserve caller result"	"source-form-audited; build-not-enabled"	"src/opennt-mvdm-support/oemuni/process.c:154"
"MVDM-T279-S1-IF-054"	"oemuni/process.c"	"RtlAllocateHeap"	"35,86,195,264,339,460,478,496,607,878"	"NT4 TEB and RTL string/heap facade retains original declaration forms"	"adapter-win32"	"adapter-win32 owns native temporary pointers and PEB/TEB access"	"map NTSTATUS through original BaseSetLastNTError macro and preserve caller result"	"source-form-audited; build-not-enabled"	"src/opennt-mvdm-support/oemuni/process.c:35"
"MVDM-T279-S1-IF-055"	"oemuni/process.c"	"RtlAnsiStringToUnicodeString"	"622,805"	"NT4 TEB and RTL string/heap facade retains original declaration forms"	"adapter-win32"	"adapter-win32 owns native temporary pointers and PEB/TEB access"	"map NTSTATUS through original BaseSetLastNTError macro and preserve caller result"	"source-form-audited; build-not-enabled"	"src/opennt-mvdm-support/oemuni/process.c:622"
"MVDM-T279-S1-IF-056"	"oemuni/process.c"	"RtlFreeAnsiString"	"645,735,739,830,834"	"NT4 TEB and RTL string/heap facade retains original declaration forms"	"adapter-win32"	"adapter-win32 owns native temporary pointers and PEB/TEB access"	"map NTSTATUS through original BaseSetLastNTError macro and preserve caller result"	"source-form-audited; build-not-enabled"	"src/opennt-mvdm-support/oemuni/process.c:645"
"MVDM-T279-S1-IF-057"	"oemuni/process.c"	"RtlFreeHeap"	"49,55,100,106,230,277,283,363,541,546,551,649,913"	"NT4 TEB and RTL string/heap facade retains original declaration forms"	"adapter-win32"	"adapter-win32 owns native temporary pointers and PEB/TEB access"	"map NTSTATUS through original BaseSetLastNTError macro and preserve caller result"	"source-form-audited; build-not-enabled"	"src/opennt-mvdm-support/oemuni/process.c:49"
"MVDM-T279-S1-IF-058"	"oemuni/process.c"	"RtlFreeUnicodeString"	"185,233,237,342,362,526,531,536,620,641,700,731,796,826,912"	"NT4 TEB and RTL string/heap facade retains original declaration forms"	"adapter-win32"	"adapter-win32 owns native temporary pointers and PEB/TEB access"	"map NTSTATUS through original BaseSetLastNTError macro and preserve caller result"	"source-form-audited; build-not-enabled"	"src/opennt-mvdm-support/oemuni/process.c:185"
"MVDM-T279-S1-IF-059"	"oemuni/process.c"	"RtlInitString"	"804"	"NT4 TEB and RTL string/heap facade retains original declaration forms"	"adapter-win32"	"adapter-win32 owns native temporary pointers and PEB/TEB access"	"map NTSTATUS through original BaseSetLastNTError macro and preserve caller result"	"source-form-audited; build-not-enabled"	"src/opennt-mvdm-support/oemuni/process.c:804"
"MVDM-T279-S1-IF-060"	"oemuni/process.c"	"RtlInitUnicodeString"	"209,353"	"NT4 TEB and RTL string/heap facade retains original declaration forms"	"adapter-win32"	"adapter-win32 owns native temporary pointers and PEB/TEB access"	"map NTSTATUS through original BaseSetLastNTError macro and preserve caller result"	"source-form-audited; build-not-enabled"	"src/opennt-mvdm-support/oemuni/process.c:209"
"MVDM-T279-S1-IF-061"	"oemuni/process.c"	"RtlMoveMemory"	"430"	"NT4 TEB and RTL string/heap facade retains original declaration forms"	"adapter-win32"	"adapter-win32 owns native temporary pointers and PEB/TEB access"	"map NTSTATUS through original BaseSetLastNTError macro and preserve caller result"	"source-form-audited; build-not-enabled"	"src/opennt-mvdm-support/oemuni/process.c:430"
"MVDM-T279-S1-IF-062"	"oemuni/process.c"	"RtlOemStringToUnicodeSize"	"459,477,495"	"NT4 TEB and RTL string/heap facade retains original declaration forms"	"adapter-win32"	"adapter-win32 owns native temporary pointers and PEB/TEB access"	"map NTSTATUS through original BaseSetLastNTError macro and preserve caller result"	"source-form-audited; build-not-enabled"	"src/opennt-mvdm-support/oemuni/process.c:459"
"MVDM-T279-S1-IF-063"	"oemuni/process.c"	"RtlOemStringToUnicodeString"	"157,170,182,321,333,408,415,439,449,467,485,503,588,684,705,780,869"	"NT4 TEB and RTL string/heap facade retains original declaration forms"	"adapter-win32"	"adapter-win32 owns native temporary pointers and PEB/TEB access"	"map NTSTATUS through original BaseSetLastNTError macro and preserve caller result"	"source-form-audited; build-not-enabled"	"src/opennt-mvdm-support/oemuni/process.c:157"
"MVDM-T279-S1-IF-064"	"oemuni/process.c"	"RtlProcessHeap"	"36,49,55,87,100,106,195,230,265,277,283,339,363,460,478,496,541,546,551,607,649,878,913"	"NT4 TEB and RTL string/heap facade retains original declaration forms"	"adapter-win32"	"adapter-win32 owns native temporary pointers and PEB/TEB access"	"map NTSTATUS through original BaseSetLastNTError macro and preserve caller result"	"source-form-audited; build-not-enabled"	"src/opennt-mvdm-support/oemuni/process.c:36"
"MVDM-T279-S1-IF-065"	"oemuni/process.c"	"RtlUnicodeStringToAnsiString"	"599,695,716,791"	"NT4 TEB and RTL string/heap facade retains original declaration forms"	"adapter-win32"	"adapter-win32 owns native temporary pointers and PEB/TEB access"	"map NTSTATUS through original BaseSetLastNTError macro and preserve caller result"	"source-form-audited; build-not-enabled"	"src/opennt-mvdm-support/oemuni/process.c:599"
"MVDM-T279-S1-IF-066"	"oemuni/process.c"	"RtlUnicodeStringToOemString"	"54,105,212,282,356,630,815,900"	"NT4 TEB and RTL string/heap facade retains original declaration forms"	"adapter-win32"	"adapter-win32 owns native temporary pointers and PEB/TEB access"	"map NTSTATUS through original BaseSetLastNTError macro and preserve caller result"	"source-form-audited; build-not-enabled"	"src/opennt-mvdm-support/oemuni/process.c:54"
"MVDM-T279-S1-IF-067"	"suballoc/suballoc.c"	"malloc"	"85"	"original malloc/RtlZeroMemory plus CommitRoutine, DecommitRoutine and MoveMemRoutine function-pointer contract"	"native CRT plus original caller callback contract -> adapter-softpc"	"allocator metadata is host-local; BaseAddress/Size remain numeric ULONG values; caller binds callbacks through adapter-softpc"	"original FALSE/NULL callback and allocation failure result retained"	"source-form-audited; build-not-enabled"	"src/opennt-mvdm-support/suballoc/suballoc.c:85"
"MVDM-T279-S1-IF-068"	"suballoc/suballoc.c"	"RtlZeroMemory"	"94"	"original malloc/RtlZeroMemory plus CommitRoutine, DecommitRoutine and MoveMemRoutine function-pointer contract"	"native CRT plus original caller callback contract -> adapter-softpc"	"allocator metadata is host-local; BaseAddress/Size remain numeric ULONG values; caller binds callbacks through adapter-softpc"	"original FALSE/NULL callback and allocation failure result retained"	"source-form-audited; build-not-enabled"	"src/opennt-mvdm-support/suballoc/suballoc.c:94"
"MVDM-T279-S1-IF-069"	"suballoc/suballoc.c"	"CommitRoutine"	"39,56,99,849"	"original malloc/RtlZeroMemory plus CommitRoutine, DecommitRoutine and MoveMemRoutine function-pointer contract"	"native CRT plus original caller callback contract -> adapter-softpc"	"allocator metadata is host-local; BaseAddress/Size remain numeric ULONG values; caller binds callbacks through adapter-softpc"	"original FALSE/NULL callback and allocation failure result retained"	"source-form-audited; build-not-enabled"	"src/opennt-mvdm-support/suballoc/suballoc.c:39"
