cluster_id	review_cluster	profile_class	candidate_count	source_file_count	candidate_kinds	review_state	required_source_review
T310-S8-P4-CLUSTER-015	MVDM-VDMREDIR-OWNER-PACKAGE	unselected-owner-package-source	23	7	architecture-conditional:1;function-pointer-declaration-or-slot:9;function-pointer-indirect-call:8;pointer-to-fixed-width-conversion:5	pending-source-contract-review	read original declarations, assignments/initializers, selected callers, conditional profile and x86/x64 compiler evidence as one contract
T310-S8-P4-CLUSTER-016	MVDM-BDE-OWNER-PACKAGE	unselected-owner-package-source	14	5	architecture-conditional:10;function-pointer-declaration-or-slot:1;function-pointer-indirect-call:3	pending-source-contract-review	read original declarations, assignments/initializers, selected callers, conditional profile and x86/x64 compiler evidence as one contract
T310-S8-P4-CLUSTER-017	SPC-HOST-BOP-BINDING	selected-softpc-machine-source	14	1	architecture-conditional:1;function-pointer-declaration-or-slot:2;function-pointer-indirect-call:7;pointer-to-fixed-width-conversion:4	pending-source-contract-review	read original declarations, assignments/initializers, selected callers, conditional profile and x86/x64 compiler evidence as one contract
T310-S8-P4-CLUSTER-018	MVDM-DOS-OWNER-PACKAGE	unselected-owner-package-source	11	5	architecture-conditional:3;function-pointer-declaration-or-slot:4;function-pointer-indirect-call:4	pending-source-contract-review	read original declarations, assignments/initializers, selected callers, conditional profile and x86/x64 compiler evidence as one contract
T310-S8-P4-CLUSTER-019	MVDM-XMS.486-OWNER-PACKAGE	unselected-owner-package-source	11	4	architecture-conditional:5;fixed-width-to-pointer-conversion:4;function-pointer-declaration-or-slot:1;function-pointer-indirect-call:1	pending-source-contract-review	read original declarations, assignments/initializers, selected callers, conditional profile and x86/x64 compiler evidence as one contract
T310-S8-P4-CLUSTER-020	SPC-INPUT-CONTROLLER-CALLBACKS	selected-softpc-machine-source	9	3	function-pointer-declaration-or-slot:5;function-pointer-indirect-call:3;pointer-to-fixed-width-conversion:1	pending-source-contract-review	read original declarations, assignments/initializers, selected callers, conditional profile and x86/x64 compiler evidence as one contract
T310-S8-P4-CLUSTER-021	SPC-SUPPORT-CONTROLLER-CALLBACKS	selected-softpc-machine-source	9	2	function-pointer-declaration-or-slot:1;function-pointer-indirect-call:8	pending-source-contract-review	read original declarations, assignments/initializers, selected callers, conditional profile and x86/x64 compiler evidence as one contract
T310-S8-P4-CLUSTER-022	MVDM-FAX-OWNER-PACKAGE	unselected-owner-package-source	7	2	function-pointer-declaration-or-slot:3;function-pointer-indirect-call:3;pointer-to-fixed-width-conversion:1	pending-source-contract-review	read original declarations, assignments/initializers, selected callers, conditional profile and x86/x64 compiler evidence as one contract
T310-S8-P4-CLUSTER-023	SPC-STORAGE-CONTROLLER-CALLBACKS	selected-softpc-machine-source	7	2	function-pointer-declaration-or-slot:2;function-pointer-indirect-call:5	pending-source-contract-review	read original declarations, assignments/initializers, selected callers, conditional profile and x86/x64 compiler evidence as one contract
T310-S8-P4-CLUSTER-024	SPC-DEBUG-UNSELECTED	unselected-debug-profile	6	2	function-pointer-declaration-or-slot:3;function-pointer-indirect-call:3	pending-source-contract-review	read original declarations, assignments/initializers, selected callers, conditional profile and x86/x64 compiler evidence as one contract
T310-S8-P4-CLUSTER-025	SPC-HOST-SYSTEM-INTERRUPT-BINDINGS	selected-softpc-machine-source	6	1	function-pointer-declaration-or-slot:3;function-pointer-indirect-call:3	pending-source-contract-review	read original declarations, assignments/initializers, selected callers, conditional profile and x86/x64 compiler evidence as one contract
T310-S8-P4-CLUSTER-026	MVDM-VDMDBG-OWNER-PACKAGE	unselected-owner-package-source	5	1	architecture-conditional:3;function-pointer-indirect-call:2	pending-source-contract-review	read original declarations, assignments/initializers, selected callers, conditional profile and x86/x64 compiler evidence as one contract
T310-S8-P4-CLUSTER-027	MVDM-VDD-OWNER-PACKAGE	unselected-owner-package-source	4	2	function-pointer-declaration-or-slot:1;function-pointer-indirect-call:1;pointer-to-fixed-width-conversion:2	pending-source-contract-review	read original declarations, assignments/initializers, selected callers, conditional profile and x86/x64 compiler evidence as one contract
T310-S8-P4-CLUSTER-028	SPC-HOST-COMMS-BINDINGS	selected-softpc-machine-source	3	1	function-pointer-indirect-call:3	pending-source-contract-review	read original declarations, assignments/initializers, selected callers, conditional profile and x86/x64 compiler evidence as one contract
T310-S8-P4-CLUSTER-029	SPC-HOST-VIDEO-BINDINGS	selected-softpc-machine-source	3	1	function-pointer-declaration-or-slot:1;function-pointer-indirect-call:2	pending-source-contract-review	read original declarations, assignments/initializers, selected callers, conditional profile and x86/x64 compiler evidence as one contract
T310-S8-P4-CLUSTER-030	MVDM-SIM32-OWNER-PACKAGE	unselected-owner-package-source	2	1	pointer-to-fixed-width-conversion:2	pending-source-contract-review	read original declarations, assignments/initializers, selected callers, conditional profile and x86/x64 compiler evidence as one contract
T310-S8-P4-CLUSTER-031	SPC-BIOS-FIRMWARE-BINDINGS	selected-softpc-machine-source	2	2	function-pointer-declaration-or-slot:2	pending-source-contract-review	read original declarations, assignments/initializers, selected callers, conditional profile and x86/x64 compiler evidence as one contract
T310-S8-P4-CLUSTER-032	SPC-COMMS-CONTROLLER-CALLBACKS	selected-softpc-machine-source	2	1	function-pointer-declaration-or-slot:1;function-pointer-indirect-call:1	pending-source-contract-review	read original declarations, assignments/initializers, selected callers, conditional profile and x86/x64 compiler evidence as one contract
T310-S8-P4-CLUSTER-033	SPC-HOST-VDD-BINDING	selected-softpc-machine-source	2	1	function-pointer-declaration-or-slot:1;function-pointer-indirect-call:1	pending-source-contract-review	read original declarations, assignments/initializers, selected callers, conditional profile and x86/x64 compiler evidence as one contract
T310-S8-P4-CLUSTER-034	SPC-HOST-CONFIGURATION-BINDINGS	selected-softpc-machine-source	1	1	architecture-conditional:1	pending-source-contract-review	read original declarations, assignments/initializers, selected callers, conditional profile and x86/x64 compiler evidence as one contract
T310-S8-P4-CLUSTER-035	SPC-MEMORY-MAPPING-BINDINGS	selected-softpc-machine-source	1	1	pointer-to-fixed-width-conversion:1	pending-source-contract-review	read original declarations, assignments/initializers, selected callers, conditional profile and x86/x64 compiler evidence as one contract
