classification_id	source_path	source_line	warning	message	architectures	review_cluster	x86_x64_disposition	required_next_read	source_records
T310-S8-P4-CLASS-000015	src/mvdm-host/dos/command/cmdenv.c	633	C4996	'_strupr': This function or variable may be unsafe. Consider using _strupr_s instead. To disable deprecation, use _CRT_SECURE_NO_WARNINGS. See online help for details.	x64,x86	MVDM-DOS-OWNER-PACKAGE	nonwidth-source-quality-not-current-blocker	not an x86/x64 compatibility diagnosis on its own; retain the source row for later package review but do not create an adapter or modify a mirror solely for this warning	T310-S8-P4-WARN-000029,T310-S8-P4-WARN-000030
T310-S8-P4-CLASS-000016	src/mvdm-host/dos/command/cmdenv.c	746	C4706	assignment used as a condition	x64,x86	MVDM-DOS-OWNER-PACKAGE	nonwidth-source-quality-not-current-blocker	not an x86/x64 compatibility diagnosis on its own; retain the source row for later package review but do not create an adapter or modify a mirror solely for this warning	T310-S8-P4-WARN-000031,T310-S8-P4-WARN-000032
T310-S8-P4-CLASS-000017	src/mvdm-host/dos/command/cmdexec.c	104	C4996	'strncpy': This function or variable may be unsafe. Consider using strncpy_s instead. To disable deprecation, use _CRT_SECURE_NO_WARNINGS. See online help for details.	x64,x86	MVDM-DOS-OWNER-PACKAGE	nonwidth-source-quality-not-current-blocker	not an x86/x64 compatibility diagnosis on its own; retain the source row for later package review but do not create an adapter or modify a mirror solely for this warning	T310-S8-P4-WARN-000033,T310-S8-P4-WARN-000034
T310-S8-P4-CLASS-000018	src/mvdm-host/dos/command/cmdexec.c	109	C4996	'strncpy': This function or variable may be unsafe. Consider using strncpy_s instead. To disable deprecation, use _CRT_SECURE_NO_WARNINGS. See online help for details.	x64,x86	MVDM-DOS-OWNER-PACKAGE	nonwidth-source-quality-not-current-blocker	not an x86/x64 compatibility diagnosis on its own; retain the source row for later package review but do not create an adapter or modify a mirror solely for this warning	T310-S8-P4-WARN-000035,T310-S8-P4-WARN-000036
T310-S8-P4-CLASS-000019	src/mvdm-host/dos/command/cmdexec.c	143	C4996	'_strlwr': This function or variable may be unsafe. Consider using _strlwr_s instead. To disable deprecation, use _CRT_SECURE_NO_WARNINGS. See online help for details.	x64,x86	MVDM-DOS-OWNER-PACKAGE	nonwidth-source-quality-not-current-blocker	not an x86/x64 compatibility diagnosis on its own; retain the source row for later package review but do not create an adapter or modify a mirror solely for this warning	T310-S8-P4-WARN-000037,T310-S8-P4-WARN-000038
T310-S8-P4-CLASS-000020	src/mvdm-host/dos/command/cmdexec.c	149	C4996	'sscanf': This function or variable may be unsafe. Consider using sscanf_s instead. To disable deprecation, use _CRT_SECURE_NO_WARNINGS. See online help for details.	x64,x86	MVDM-DOS-OWNER-PACKAGE	nonwidth-source-quality-not-current-blocker	not an x86/x64 compatibility diagnosis on its own; retain the source row for later package review but do not create an adapter or modify a mirror solely for this warning	T310-S8-P4-WARN-000039,T310-S8-P4-WARN-000040
T310-S8-P4-CLASS-000021	src/mvdm-host/dos/command/cmdexec.c	187	C4101	'lpTemp': unreferenced local variable	x64,x86	MVDM-DOS-OWNER-PACKAGE	nonwidth-source-quality-not-current-blocker	not an x86/x64 compatibility diagnosis on its own; retain the source row for later package review but do not create an adapter or modify a mirror solely for this warning	T310-S8-P4-WARN-000041,T310-S8-P4-WARN-000042
T310-S8-P4-CLASS-000022	src/mvdm-host/dos/command/cmdexec.c	308	C4996	'strcpy': This function or variable may be unsafe. Consider using strcpy_s instead. To disable deprecation, use _CRT_SECURE_NO_WARNINGS. See online help for details.	x64,x86	MVDM-DOS-OWNER-PACKAGE	nonwidth-source-quality-not-current-blocker	not an x86/x64 compatibility diagnosis on its own; retain the source row for later package review but do not create an adapter or modify a mirror solely for this warning	T310-S8-P4-WARN-000043,T310-S8-P4-WARN-000044
T310-S8-P4-CLASS-000023	src/mvdm-host/dos/command/cmdexec.c	325	C4996	'strcpy': This function or variable may be unsafe. Consider using strcpy_s instead. To disable deprecation, use _CRT_SECURE_NO_WARNINGS. See online help for details.	x64,x86	MVDM-DOS-OWNER-PACKAGE	nonwidth-source-quality-not-current-blocker	not an x86/x64 compatibility diagnosis on its own; retain the source row for later package review but do not create an adapter or modify a mirror solely for this warning	T310-S8-P4-WARN-000045,T310-S8-P4-WARN-000046
T310-S8-P4-CLASS-000024	src/mvdm-host/dos/command/cmdexec.c	397	C4189	'lpNewEnv': local variable is initialized but not referenced	x64,x86	MVDM-DOS-OWNER-PACKAGE	nonwidth-source-quality-not-current-blocker	not an x86/x64 compatibility diagnosis on its own; retain the source row for later package review but do not create an adapter or modify a mirror solely for this warning	T310-S8-P4-WARN-000047,T310-S8-P4-WARN-000048
T310-S8-P4-CLASS-000025	src/mvdm-host/dos/command/cmdexec.c	669	C4996	'strcat': This function or variable may be unsafe. Consider using strcat_s instead. To disable deprecation, use _CRT_SECURE_NO_WARNINGS. See online help for details.	x64,x86	MVDM-DOS-OWNER-PACKAGE	nonwidth-source-quality-not-current-blocker	not an x86/x64 compatibility diagnosis on its own; retain the source row for later package review but do not create an adapter or modify a mirror solely for this warning	T310-S8-P4-WARN-000049,T310-S8-P4-WARN-000050
T310-S8-P4-CLASS-000026	src/mvdm-host/dos/command/cmdexec.c	670	C4996	'strcat': This function or variable may be unsafe. Consider using strcat_s instead. To disable deprecation, use _CRT_SECURE_NO_WARNINGS. See online help for details.	x64,x86	MVDM-DOS-OWNER-PACKAGE	nonwidth-source-quality-not-current-blocker	not an x86/x64 compatibility diagnosis on its own; retain the source row for later package review but do not create an adapter or modify a mirror solely for this warning	T310-S8-P4-WARN-000051,T310-S8-P4-WARN-000052
T310-S8-P4-CLASS-000027	src/mvdm-host/dos/command/cmdexec.c	691	C4459	declaration of 'VDMInfo' hides global declaration	x64,x86	MVDM-DOS-OWNER-PACKAGE	nonwidth-source-quality-not-current-blocker	not an x86/x64 compatibility diagnosis on its own; retain the source row for later package review but do not create an adapter or modify a mirror solely for this warning	T310-S8-P4-WARN-000053,T310-S8-P4-WARN-000054
T310-S8-P4-CLASS-000028	src/mvdm-host/dos/command/cmdkeyb.c	76	C4101	'ofstr': unreferenced local variable	x64,x86	MVDM-DOS-OWNER-PACKAGE	nonwidth-source-quality-not-current-blocker	not an x86/x64 compatibility diagnosis on its own; retain the source row for later package review but do not create an adapter or modify a mirror solely for this warning	T310-S8-P4-WARN-000055,T310-S8-P4-WARN-000056
T310-S8-P4-CLASS-000029	src/mvdm-host/dos/command/cmdkeyb.c	103	C4996	'sprintf': This function or variable may be unsafe. Consider using sprintf_s instead. To disable deprecation, use _CRT_SECURE_NO_WARNINGS. See online help for details.	x64,x86	MVDM-DOS-OWNER-PACKAGE	nonwidth-source-quality-not-current-blocker	not an x86/x64 compatibility diagnosis on its own; retain the source row for later package review but do not create an adapter or modify a mirror solely for this warning	T310-S8-P4-WARN-000057,T310-S8-P4-WARN-000058
T310-S8-P4-CLASS-000030	src/mvdm-host/dos/command/cmdkeyb.c	139	C4996	'sprintf': This function or variable may be unsafe. Consider using sprintf_s instead. To disable deprecation, use _CRT_SECURE_NO_WARNINGS. See online help for details.	x64,x86	MVDM-DOS-OWNER-PACKAGE	nonwidth-source-quality-not-current-blocker	not an x86/x64 compatibility diagnosis on its own; retain the source row for later package review but do not create an adapter or modify a mirror solely for this warning	T310-S8-P4-WARN-000059,T310-S8-P4-WARN-000060
T310-S8-P4-CLASS-000031	src/mvdm-host/dos/command/cmdkeyb.c	196	C4996	'sprintf': This function or variable may be unsafe. Consider using sprintf_s instead. To disable deprecation, use _CRT_SECURE_NO_WARNINGS. See online help for details.	x64,x86	MVDM-DOS-OWNER-PACKAGE	nonwidth-source-quality-not-current-blocker	not an x86/x64 compatibility diagnosis on its own; retain the source row for later package review but do not create an adapter or modify a mirror solely for this warning	T310-S8-P4-WARN-000061,T310-S8-P4-WARN-000062
T310-S8-P4-CLASS-000032	src/mvdm-host/dos/command/cmdkeyb.c	208	C4996	'strcpy': This function or variable may be unsafe. Consider using strcpy_s instead. To disable deprecation, use _CRT_SECURE_NO_WARNINGS. See online help for details.	x64,x86	MVDM-DOS-OWNER-PACKAGE	nonwidth-source-quality-not-current-blocker	not an x86/x64 compatibility diagnosis on its own; retain the source row for later package review but do not create an adapter or modify a mirror solely for this warning	T310-S8-P4-WARN-000063,T310-S8-P4-WARN-000064
T310-S8-P4-CLASS-000033	src/mvdm-host/dos/command/cmdkeyb.c	211	C4996	'sprintf': This function or variable may be unsafe. Consider using sprintf_s instead. To disable deprecation, use _CRT_SECURE_NO_WARNINGS. See online help for details.	x64,x86	MVDM-DOS-OWNER-PACKAGE	nonwidth-source-quality-not-current-blocker	not an x86/x64 compatibility diagnosis on its own; retain the source row for later package review but do not create an adapter or modify a mirror solely for this warning	T310-S8-P4-WARN-000065,T310-S8-P4-WARN-000066
T310-S8-P4-CLASS-000034	src/mvdm-host/dos/command/cmdkeyb.c	226	C4996	'sprintf': This function or variable may be unsafe. Consider using sprintf_s instead. To disable deprecation, use _CRT_SECURE_NO_WARNINGS. See online help for details.	x64,x86	MVDM-DOS-OWNER-PACKAGE	nonwidth-source-quality-not-current-blocker	not an x86/x64 compatibility diagnosis on its own; retain the source row for later package review but do not create an adapter or modify a mirror solely for this warning	T310-S8-P4-WARN-000067,T310-S8-P4-WARN-000068
T310-S8-P4-CLASS-000035	src/mvdm-host/dos/command/cmdkeyb.c	234	C4996	'sprintf': This function or variable may be unsafe. Consider using sprintf_s instead. To disable deprecation, use _CRT_SECURE_NO_WARNINGS. See online help for details.	x64,x86	MVDM-DOS-OWNER-PACKAGE	nonwidth-source-quality-not-current-blocker	not an x86/x64 compatibility diagnosis on its own; retain the source row for later package review but do not create an adapter or modify a mirror solely for this warning	T310-S8-P4-WARN-000069,T310-S8-P4-WARN-000070
T310-S8-P4-CLASS-000036	src/mvdm-host/dos/command/cmdkeyb.c	246	C4996	'strcpy': This function or variable may be unsafe. Consider using strcpy_s instead. To disable deprecation, use _CRT_SECURE_NO_WARNINGS. See online help for details.	x64,x86	MVDM-DOS-OWNER-PACKAGE	nonwidth-source-quality-not-current-blocker	not an x86/x64 compatibility diagnosis on its own; retain the source row for later package review but do not create an adapter or modify a mirror solely for this warning	T310-S8-P4-WARN-000071,T310-S8-P4-WARN-000072
T310-S8-P4-CLASS-000037	src/mvdm-host/dos/command/cmdkeyb.c	247	C4996	'strcpy': This function or variable may be unsafe. Consider using strcpy_s instead. To disable deprecation, use _CRT_SECURE_NO_WARNINGS. See online help for details.	x64,x86	MVDM-DOS-OWNER-PACKAGE	nonwidth-source-quality-not-current-blocker	not an x86/x64 compatibility diagnosis on its own; retain the source row for later package review but do not create an adapter or modify a mirror solely for this warning	T310-S8-P4-WARN-000073,T310-S8-P4-WARN-000074
T310-S8-P4-CLASS-000038	src/mvdm-host/dos/command/cmdmisc.c	127	C4996	'strcpy': This function or variable may be unsafe. Consider using strcpy_s instead. To disable deprecation, use _CRT_SECURE_NO_WARNINGS. See online help for details.	x64,x86	MVDM-DOS-OWNER-PACKAGE	nonwidth-source-quality-not-current-blocker	not an x86/x64 compatibility diagnosis on its own; retain the source row for later package review but do not create an adapter or modify a mirror solely for this warning	T310-S8-P4-WARN-000075,T310-S8-P4-WARN-000076
T310-S8-P4-CLASS-000039	src/mvdm-host/dos/command/cmdmisc.c	130	C4996	'strcat': This function or variable may be unsafe. Consider using strcat_s instead. To disable deprecation, use _CRT_SECURE_NO_WARNINGS. See online help for details.	x64,x86	MVDM-DOS-OWNER-PACKAGE	nonwidth-source-quality-not-current-blocker	not an x86/x64 compatibility diagnosis on its own; retain the source row for later package review but do not create an adapter or modify a mirror solely for this warning	T310-S8-P4-WARN-000077,T310-S8-P4-WARN-000078
T310-S8-P4-CLASS-000040	src/mvdm-host/dos/command/cmdmisc.c	132	C4996	'strcat': This function or variable may be unsafe. Consider using strcat_s instead. To disable deprecation, use _CRT_SECURE_NO_WARNINGS. See online help for details.	x64,x86	MVDM-DOS-OWNER-PACKAGE	nonwidth-source-quality-not-current-blocker	not an x86/x64 compatibility diagnosis on its own; retain the source row for later package review but do not create an adapter or modify a mirror solely for this warning	T310-S8-P4-WARN-000079,T310-S8-P4-WARN-000080
T310-S8-P4-CLASS-000041	src/mvdm-host/dos/command/cmdmisc.c	286	C4996	'_strupr': This function or variable may be unsafe. Consider using _strupr_s instead. To disable deprecation, use _CRT_SECURE_NO_WARNINGS. See online help for details.	x64,x86	MVDM-DOS-OWNER-PACKAGE	nonwidth-source-quality-not-current-blocker	not an x86/x64 compatibility diagnosis on its own; retain the source row for later package review but do not create an adapter or modify a mirror solely for this warning	T310-S8-P4-WARN-000081,T310-S8-P4-WARN-000082
T310-S8-P4-CLASS-000042	src/mvdm-host/dos/command/cmdmisc.c	298	C4213	nonstandard extension used: cast on l-value	x64	MVDM-DOS-OWNER-PACKAGE	unclassified-read-source	warning class has no approved general disposition; read original source, declaration and selected caller before any change	T310-S8-P4-WARN-000083
T310-S8-P4-CLASS-000043	src/mvdm-host/dos/command/cmdmisc.c	300	C4213	nonstandard extension used: cast on l-value	x64	MVDM-DOS-OWNER-PACKAGE	unclassified-read-source	warning class has no approved general disposition; read original source, declaration and selected caller before any change	T310-S8-P4-WARN-000084
T310-S8-P4-CLASS-000044	src/mvdm-host/dos/command/cmdmisc.c	302	C4213	nonstandard extension used: cast on l-value	x64	MVDM-DOS-OWNER-PACKAGE	unclassified-read-source	warning class has no approved general disposition; read original source, declaration and selected caller before any change	T310-S8-P4-WARN-000085
T310-S8-P4-CLASS-000045	src/mvdm-host/dos/command/cmdmisc.c	304	C4213	nonstandard extension used: cast on l-value	x64	MVDM-DOS-OWNER-PACKAGE	unclassified-read-source	warning class has no approved general disposition; read original source, declaration and selected caller before any change	T310-S8-P4-WARN-000086
T310-S8-P4-CLASS-000046	src/mvdm-host/dos/command/cmdmisc.c	307	C4213	nonstandard extension used: cast on l-value	x64	MVDM-DOS-OWNER-PACKAGE	unclassified-read-source	warning class has no approved general disposition; read original source, declaration and selected caller before any change	T310-S8-P4-WARN-000087
T310-S8-P4-CLASS-000047	src/mvdm-host/dos/command/cmdmisc.c	310	C4213	nonstandard extension used: cast on l-value	x64	MVDM-DOS-OWNER-PACKAGE	unclassified-read-source	warning class has no approved general disposition; read original source, declaration and selected caller before any change	T310-S8-P4-WARN-000088
T310-S8-P4-CLASS-000048	src/mvdm-host/dos/command/cmdmisc.c	347	C4996	'strncpy': This function or variable may be unsafe. Consider using strncpy_s instead. To disable deprecation, use _CRT_SECURE_NO_WARNINGS. See online help for details.	x64,x86	MVDM-DOS-OWNER-PACKAGE	nonwidth-source-quality-not-current-blocker	not an x86/x64 compatibility diagnosis on its own; retain the source row for later package review but do not create an adapter or modify a mirror solely for this warning	T310-S8-P4-WARN-000089,T310-S8-P4-WARN-000090
T310-S8-P4-CLASS-000049	src/mvdm-host/dos/command/cmdmisc.c	365	C4213	nonstandard extension used: cast on l-value	x64	MVDM-DOS-OWNER-PACKAGE	unclassified-read-source	warning class has no approved general disposition; read original source, declaration and selected caller before any change	T310-S8-P4-WARN-000091
T310-S8-P4-CLASS-000050	src/mvdm-host/dos/command/cmdmisc.c	370	C4213	nonstandard extension used: cast on l-value	x64	MVDM-DOS-OWNER-PACKAGE	unclassified-read-source	warning class has no approved general disposition; read original source, declaration and selected caller before any change	T310-S8-P4-WARN-000092
T310-S8-P4-CLASS-000051	src/mvdm-host/dos/command/cmdmisc.c	371	C4213	nonstandard extension used: cast on l-value	x64	MVDM-DOS-OWNER-PACKAGE	unclassified-read-source	warning class has no approved general disposition; read original source, declaration and selected caller before any change	T310-S8-P4-WARN-000093
T310-S8-P4-CLASS-000052	src/mvdm-host/dos/command/cmdmisc.c	372	C4213	nonstandard extension used: cast on l-value	x64	MVDM-DOS-OWNER-PACKAGE	unclassified-read-source	warning class has no approved general disposition; read original source, declaration and selected caller before any change	T310-S8-P4-WARN-000094
T310-S8-P4-CLASS-000053	src/mvdm-host/dos/command/cmdmisc.c	374	C4213	nonstandard extension used: cast on l-value	x64	MVDM-DOS-OWNER-PACKAGE	unclassified-read-source	warning class has no approved general disposition; read original source, declaration and selected caller before any change	T310-S8-P4-WARN-000095
T310-S8-P4-CLASS-000054	src/mvdm-host/dos/command/cmdmisc.c	393	C4213	nonstandard extension used: cast on l-value	x64	MVDM-DOS-OWNER-PACKAGE	unclassified-read-source	warning class has no approved general disposition; read original source, declaration and selected caller before any change	T310-S8-P4-WARN-000096
T310-S8-P4-CLASS-000055	src/mvdm-host/dos/command/cmdmisc.c	464	C4213	nonstandard extension used: cast on l-value	x64	MVDM-DOS-OWNER-PACKAGE	unclassified-read-source	warning class has no approved general disposition; read original source, declaration and selected caller before any change	T310-S8-P4-WARN-000097
T310-S8-P4-CLASS-000056	src/mvdm-host/dos/command/cmdmisc.c	526	C4244	'-=': conversion from 'int' to '__unaligned USHORT', possible loss of data	x64	MVDM-DOS-OWNER-PACKAGE	must-read-x64-narrowing	narrowing/widening is not automatically a defect; determine guest fixed-width value, private native value, or host identity before selecting original correction, overlay, or mapping-manager boundary	T310-S8-P4-WARN-000098
T310-S8-P4-CLASS-000057	src/mvdm-host/dos/command/cmdmisc.c	526	C4244	'-=': conversion from 'int' to 'USHORT', possible loss of data	x86	MVDM-DOS-OWNER-PACKAGE	read-value-range-and-architecture-delta	narrowing/widening is not automatically a defect; determine guest fixed-width value, private native value, or host identity before selecting original correction, overlay, or mapping-manager boundary	T310-S8-P4-WARN-000099
T310-S8-P4-CLASS-000058	src/mvdm-host/dos/command/cmdmisc.c	542	C4996	'strcpy': This function or variable may be unsafe. Consider using strcpy_s instead. To disable deprecation, use _CRT_SECURE_NO_WARNINGS. See online help for details.	x64,x86	MVDM-DOS-OWNER-PACKAGE	nonwidth-source-quality-not-current-blocker	not an x86/x64 compatibility diagnosis on its own; retain the source row for later package review but do not create an adapter or modify a mirror solely for this warning	T310-S8-P4-WARN-000100,T310-S8-P4-WARN-000101
T310-S8-P4-CLASS-000059	src/mvdm-host/dos/command/cmdmisc.c	616	C4996	'strcpy': This function or variable may be unsafe. Consider using strcpy_s instead. To disable deprecation, use _CRT_SECURE_NO_WARNINGS. See online help for details.	x64,x86	MVDM-DOS-OWNER-PACKAGE	nonwidth-source-quality-not-current-blocker	not an x86/x64 compatibility diagnosis on its own; retain the source row for later package review but do not create an adapter or modify a mirror solely for this warning	T310-S8-P4-WARN-000102,T310-S8-P4-WARN-000103
T310-S8-P4-CLASS-000060	src/mvdm-host/dos/command/cmdmisc.c	680	C4244	'=': conversion from 'int' to 'CHAR', possible loss of data	x64,x86	MVDM-DOS-OWNER-PACKAGE	read-value-range-and-architecture-delta	narrowing/widening is not automatically a defect; determine guest fixed-width value, private native value, or host identity before selecting original correction, overlay, or mapping-manager boundary	T310-S8-P4-WARN-000104,T310-S8-P4-WARN-000105
T310-S8-P4-CLASS-000061	src/mvdm-host/dos/command/cmdmisc.c	689	C4244	'=': conversion from 'int' to 'CHAR', possible loss of data	x64,x86	MVDM-DOS-OWNER-PACKAGE	read-value-range-and-architecture-delta	narrowing/widening is not automatically a defect; determine guest fixed-width value, private native value, or host identity before selecting original correction, overlay, or mapping-manager boundary	T310-S8-P4-WARN-000106,T310-S8-P4-WARN-000107
T310-S8-P4-CLASS-000062	src/mvdm-host/dos/command/cmdmisc.c	718	C4996	'strcpy': This function or variable may be unsafe. Consider using strcpy_s instead. To disable deprecation, use _CRT_SECURE_NO_WARNINGS. See online help for details.	x64,x86	MVDM-DOS-OWNER-PACKAGE	nonwidth-source-quality-not-current-blocker	not an x86/x64 compatibility diagnosis on its own; retain the source row for later package review but do not create an adapter or modify a mirror solely for this warning	T310-S8-P4-WARN-000108,T310-S8-P4-WARN-000109
T310-S8-P4-CLASS-000063	src/mvdm-host/dos/command/cmdmisc.c	719	C4996	'strcpy': This function or variable may be unsafe. Consider using strcpy_s instead. To disable deprecation, use _CRT_SECURE_NO_WARNINGS. See online help for details.	x64,x86	MVDM-DOS-OWNER-PACKAGE	nonwidth-source-quality-not-current-blocker	not an x86/x64 compatibility diagnosis on its own; retain the source row for later package review but do not create an adapter or modify a mirror solely for this warning	T310-S8-P4-WARN-000110,T310-S8-P4-WARN-000111
T310-S8-P4-CLASS-000064	src/mvdm-host/dos/command/cmdmisc.c	720	C4267	'=': conversion from 'size_t' to 'USHORT', possible loss of data	x64,x86	MVDM-DOS-OWNER-PACKAGE	read-value-range-and-architecture-delta	narrowing/widening is not automatically a defect; determine guest fixed-width value, private native value, or host identity before selecting original correction, overlay, or mapping-manager boundary	T310-S8-P4-WARN-000112,T310-S8-P4-WARN-000113
T310-S8-P4-CLASS-000065	src/mvdm-host/dos/command/cmdmisc.c	843	C4996	'strncpy': This function or variable may be unsafe. Consider using strncpy_s instead. To disable deprecation, use _CRT_SECURE_NO_WARNINGS. See online help for details.	x64,x86	MVDM-DOS-OWNER-PACKAGE	nonwidth-source-quality-not-current-blocker	not an x86/x64 compatibility diagnosis on its own; retain the source row for later package review but do not create an adapter or modify a mirror solely for this warning	T310-S8-P4-WARN-000114,T310-S8-P4-WARN-000115
