symbol	direct_call_site_count	runtime_direct_call_site_count	caller_paths	caller_packages	caller_dispositions	provisional_first_hop	stage1_final_disposition	stage1_owner	stage1_basis	upstream_header_state	upstream_package_roots	upstream_declaration_candidates	next_stage
"_strcmpi"	"4"	"4"	"dos/dem/demfile.c"	"dos"	"adapter-backed"	"public-api-or-crt-binding-candidate"	"public-win32-or-crt-binding"	"adapter-mvdm-host-out/win32"	"public API/CRT contract; same-shaped binding is sufficient unless its ABI audit records otherwise"	"upstream-header-candidates-found"	"base/boot/detect;base/crts/crtw32;base/crts/libw32;com/ole32/olethunk;public/sdk/inc;sdktools/jetadmin/inc;sdktools/ppr/lpr.h;sdktools/wap/crtdll"	"base/boot/detect/x86/string.h:61;base/boot/detect/x86/string.h:95;base/crts/crtw32/h/string.h:204;base/crts/crtw32/h/string.h:246;base/crts/libw32/include/string.h:141;base/crts/libw32/include/string.h:183;com/ole32/olethunk/ole16/inc/string.h:64;public/sdk/inc/crt/string.h:141;public/sdk/inc/crt/string.h:183;sdktools/jetadmin/inc/string.h:141;sdktools/jetadmin/inc/string.h:183;sdktools/ppr/lpr.h:50;sdktools/wap/crtdll/crtapi.h:149"	"resolve exact declaration/import definition and final owner; do not expand every header co-location"
"_strdup"	"1"	"1"	"dos/dem/demfile.c"	"dos"	"adapter-backed"	"public-api-or-crt-binding-candidate"	"public-win32-or-crt-binding"	"adapter-mvdm-host-out/win32"	"public API/CRT contract; same-shaped binding is sufficient unless its ABI audit records otherwise"	"upstream-header-candidates-found"	"com/ole32/olethunk;public/internal/sdktools;public/sdk/inc;sdktools/compdir/compdir.h;sdktools/jetadmin/inc;sdktools/jetadmin/sdk;sdktools/vctools/nmake;sdktools/wap/crtdll;windows/diamond/mem.h"	"com/ole32/olethunk/ole16/inc/string.h:69;com/ole32/olethunk/ole16/inc/tchar.h:441;public/internal/sdktools/inc/ztools/ttypes.h:30;public/sdk/inc/crt/tchar.h:479;public/sdk/inc/pcrt32.h:22;public/sdk/inc/windowsx.h:1254;public/sdk/inc/windowsx.h:1275;sdktools/compdir/compdir.h:30;sdktools/jetadmin/inc/string.h:148;sdktools/jetadmin/inc/string.h:185;sdktools/jetadmin/inc/tchar.h:500;sdktools/jetadmin/inc/windowsx.h:1273;sdktools/jetadmin/inc/windowsx.h:1294;sdktools/jetadmin/sdk/inc32/windowsx.h:1251;sdktools/jetadmin/sdk/inc32/windowsx.h:1272;sdktools/vctools/nmake/nmake.h:136;sdktools/wap/crtdll/crtapi.h:151;windows/diamond/mem.h:18;windows/diamond/mem.h:58;windows/diamond/mem.h:65"	"resolve exact declaration/import definition and final owner; do not expand every header co-location"
"_stricmp"	"77"	"56"	"bde/bdeheap.c;bde/bdesym.c;dos/command/cmdkeyb.c;dos/dem/demfcb.c;dos/dem/demfile.c;softpc.new/base/support/get_env.c;softpc.new/obj.vdm/ntvdm.c;vdmdbg/vdmdbg.c;vdmexts/disasm.c;vdmexts/heap.c;vdmexts/misc.c;vdmexts/sym.c;vdmredir/vrdebug.c;vdmredir/vrmslot.c;vdmredir/vrnetapi.c;wow32/debug.c;wow32/mapembed.c;wow32/walias.c;wow32/wcurcash.c;wow32/wcuricon.c;wow32/wdde.c;wow32/wgdi.c;wow32/wgdi31.c;wow32/wkernel.c;wow32/wkfileio.c;wow32/wkman.c;wow32/wow32fax.c;wow32/wshell.c;wow32/wspool.c;wow32/wuclass.c;wow32/wuser.c;wow32/wuwind.c"	"bde;dos;softpc.new;vdmdbg;vdmexts;vdmredir;wow32"	"adapter-backed;not-host-runtime;overlay-required;tool-only"	"public-api-or-crt-binding-candidate"	"public-win32-or-crt-binding"	"adapter-mvdm-host-out/win32"	"public API/CRT contract; same-shaped binding is sufficient unless its ABI audit records otherwise"	"upstream-header-candidates-found"	"admin/netui/common;base/crts/libw32;com/ole32/olethunk;com/oleaut32/dispatch;public/sdk/inc;sdktools/jetadmin/inc;sdktools/jetadmin/sdk;sdktools/vctools/langapi;sdktools/vctools/nmake;sdktools/wap/crtdll"	"admin/netui/common/h/uinetlib.h:97;base/crts/libw32/include/string.h:142;base/crts/libw32/include/tchar.h:881;com/ole32/olethunk/ole16/inc/string.h:66;com/ole32/olethunk/ole16/inc/tchar.h:442;com/oleaut32/dispatch/oledisp.h:224;com/oleaut32/dispatch/oledisp.h:256;public/sdk/inc/crt/string.h:142;public/sdk/inc/crt/string.h:184;public/sdk/inc/crt/tchar.h:881;public/sdk/inc/pcrt32.h:23;public/sdk/inc/windowsx.h:1255;sdktools/jetadmin/inc/string.h:142;sdktools/jetadmin/inc/string.h:184;sdktools/jetadmin/inc/tchar.h:909;sdktools/jetadmin/inc/windowsx.h:1274;sdktools/jetadmin/sdk/inc32/windowsx.h:1252;sdktools/vctools/langapi/debugger/types.h:105;sdktools/vctools/nmake/nmake.h:132;sdktools/wap/crtdll/crtapi.h:153"	"resolve exact declaration/import definition and final owner; do not expand every header co-location"
"_strlwr"	"9"	"9"	"dos/command/cmdexec.c;wow32/mapembed.c;wow32/wkernel.c;wow32/wkfileio.c;wow32/wkman.c"	"dos;wow32"	"adapter-backed;overlay-required"	"public-api-or-crt-binding-candidate"	"public-win32-or-crt-binding"	"adapter-mvdm-host-out/win32"	"public API/CRT contract; same-shaped binding is sufficient unless its ABI audit records otherwise"	"upstream-header-candidates-found"	"admin/netui/common;base/crts/libw32;com/ole32/olethunk;public/internal/sdktools;public/sdk/inc;sdktools/compdir/compdir.h;sdktools/jetadmin/inc;sdktools/jetadmin/sdk;sdktools/vctools/langapi;sdktools/wap/crtdll"	"admin/netui/common/h/uinetlib.h:101;base/crts/libw32/include/string.h:151;base/crts/libw32/include/string.h:186;base/crts/libw32/include/tchar.h:913;com/ole32/olethunk/ole16/inc/string.h:73;com/ole32/olethunk/ole16/inc/tchar.h:469;public/internal/sdktools/inc/ztools/ttypes.h:28;public/sdk/inc/crt/string.h:151;public/sdk/inc/crt/string.h:186;public/sdk/inc/crt/tchar.h:913;public/sdk/inc/pcrt32.h:25;public/sdk/inc/windowsx.h:1257;sdktools/compdir/compdir.h:29;sdktools/jetadmin/inc/string.h:151;sdktools/jetadmin/inc/string.h:186;sdktools/jetadmin/inc/tchar.h:941;sdktools/jetadmin/inc/windowsx.h:1276;sdktools/jetadmin/sdk/inc32/windowsx.h:1254;sdktools/vctools/langapi/debugger/types.h:107;sdktools/wap/crtdll/crtapi.h:155"	"resolve exact declaration/import definition and final owner; do not expand every header co-location"
"_strnicmp"	"71"	"30"	"dos/command/cmdconf.c;dos/command/cmdenv.c;dos/command/cmdpif.c;dos/dem/demfile.c;vdmexts/help.c;vdmexts/util.c;vdmexts/wow.c;vdmredir/vrdebug.c;vdmredir/vrdll.c;vdmredir/vrmslot.c;vdmredir/vrnmpipe.c;wow32/wkfileio.c;wow32/wow32.c"	"dos;vdmexts;vdmredir;wow32"	"adapter-backed;overlay-required;tool-only"	"public-api-or-crt-binding-candidate"	"public-win32-or-crt-binding"	"adapter-mvdm-host-out/win32"	"public API/CRT contract; same-shaped binding is sufficient unless its ABI audit records otherwise"	"upstream-header-candidates-found"	"admin/netui/common;com/ole32/olethunk;public/internal/net;public/sdk/inc;sdktools/jetadmin/inc;sdktools/jetadmin/sdk;sdktools/ppr/lpr.h;sdktools/vctools/nmake;sdktools/wap/crtdll"	"admin/netui/common/h/uinetlib.h:104;com/ole32/olethunk/ole16/inc/string.h:78;com/ole32/olethunk/ole16/inc/tchar.h:443;com/ole32/olethunk/ole16/inc/tchar.h:455;public/internal/net/inc/tstring.h:42;public/sdk/inc/crt/string.h:154;public/sdk/inc/crt/string.h:187;public/sdk/inc/crt/tchar.h:884;public/sdk/inc/crt/tchar.h:885;public/sdk/inc/pcrt32.h:29;public/sdk/inc/windowsx.h:1261;sdktools/jetadmin/inc/string.h:154;sdktools/jetadmin/inc/string.h:187;sdktools/jetadmin/inc/tchar.h:912;sdktools/jetadmin/inc/tchar.h:913;sdktools/jetadmin/inc/windowsx.h:1280;sdktools/jetadmin/sdk/inc32/windowsx.h:1258;sdktools/ppr/lpr.h:49;sdktools/vctools/nmake/nmake.h:133;sdktools/wap/crtdll/crtapi.h:156"	"resolve exact declaration/import definition and final owner; do not expand every header co-location"
"_strnset"	"2"	"2"	"dos/dem/demsrch.c"	"dos"	"adapter-backed"	"public-api-or-crt-binding-candidate"	"public-win32-or-crt-binding"	"adapter-mvdm-host-out/win32"	"public API/CRT contract; same-shaped binding is sufficient unless its ABI audit records otherwise"	"upstream-header-candidates-found"	"base/crts/libw32;com/ole32/olethunk;public/sdk/inc;sdktools/jetadmin/inc;sdktools/jetadmin/sdk;sdktools/vctools/langapi;sdktools/wap/crtdll"	"base/crts/libw32/include/string.h:156;base/crts/libw32/include/string.h:188;base/crts/libw32/include/tchar.h:876;base/crts/libw32/include/tchar.h:900;com/ole32/olethunk/ole16/inc/string.h:82;com/ole32/olethunk/ole16/inc/tchar.h:444;com/ole32/olethunk/ole16/inc/tchar.h:456;public/sdk/inc/crt/string.h:156;public/sdk/inc/crt/string.h:188;public/sdk/inc/crt/tchar.h:876;public/sdk/inc/crt/tchar.h:900;public/sdk/inc/windowsx.h:1262;sdktools/jetadmin/inc/string.h:156;sdktools/jetadmin/inc/string.h:188;sdktools/jetadmin/inc/tchar.h:904;sdktools/jetadmin/inc/tchar.h:928;sdktools/jetadmin/inc/windowsx.h:1281;sdktools/jetadmin/sdk/inc32/windowsx.h:1259;sdktools/vctools/langapi/debugger/types.h:112;sdktools/wap/crtdll/crtapi.h:157"	"resolve exact declaration/import definition and final owner; do not expand every header co-location"
"_strupr"	"27"	"22"	"bde/bdesym.c;dos/command/cmdenv.c;dos/command/cmdmisc.c;dos/dem/demsrch.c;vdmexts/sym.c;vdmredir/vrdebug.c;vdmredir/vrdlcdbg.c;vdmredir/vrnetapi.c;vdmutils/graftabl/graftabl.c;wow32/wgfont.c;wow32/wkfileio.c;wow32/wkman.c"	"bde;dos;vdmexts;vdmredir;vdmutils;wow32"	"adapter-backed;overlay-required;tool-only"	"public-api-or-crt-binding-candidate"	"public-win32-or-crt-binding"	"adapter-mvdm-host-out/win32"	"public API/CRT contract; same-shaped binding is sufficient unless its ABI audit records otherwise"	"upstream-header-candidates-found"	"admin/netui/common;base/crts/libw32;com/ole32/olethunk;com/oleaut32/dispatch;public/internal/sdktools;public/sdk/inc;sdktools/jetadmin/inc;sdktools/jetadmin/sdk;sdktools/vctools/langapi;sdktools/vctools/nmake;sdktools/wap/crtdll"	"admin/netui/common/h/uinetlib.h:112;base/crts/libw32/include/string.h:163;base/crts/libw32/include/tchar.h:914;com/ole32/olethunk/ole16/inc/string.h:92;com/ole32/olethunk/ole16/inc/tchar.h:470;com/oleaut32/dispatch/oledisp.h:234;public/internal/sdktools/inc/ztools/ttypes.h:29;public/sdk/inc/crt/string.h:163;public/sdk/inc/crt/string.h:191;public/sdk/inc/crt/tchar.h:914;public/sdk/inc/pcrt32.h:38;public/sdk/inc/windowsx.h:1270;sdktools/jetadmin/inc/string.h:163;sdktools/jetadmin/inc/string.h:191;sdktools/jetadmin/inc/tchar.h:942;sdktools/jetadmin/inc/windowsx.h:1289;sdktools/jetadmin/sdk/inc32/windowsx.h:1267;sdktools/vctools/langapi/debugger/types.h:120;sdktools/vctools/nmake/nmake.h:139;sdktools/wap/crtdll/crtapi.h:161"	"resolve exact declaration/import definition and final owner; do not expand every header co-location"
"_ultoa"	"25"	"0"	"vdmexts/sym.c;vdmexts/util.c"	"vdmexts"	"tool-only"	"not-host-runtime-source-only"	"not-host-runtime-source-only"	"none"	"caller files are selected as tool-only, guest-only, firmware-only or not-host-runtime"	"upstream-header-candidates-found"	"base/crts/crtw32;base/crts/libw32;com/ole32/olethunk;com/oleaut32/typelib;public/internal/base;public/internal/com;public/internal/net;public/sdk/inc;sdktools/jetadmin/inc;sdktools/perflog/pdlcnfig;sdktools/wap/crtdll"	"base/crts/crtw32/h/stdlib.h:85;base/crts/crtw32/h/tchar.h:545;base/crts/libw32/include/stdlib.h:444;base/crts/libw32/include/stdlib.h:562;base/crts/libw32/include/tchar.h:468;com/ole32/olethunk/ole16/inc/stdlib.h:204;com/oleaut32/typelib/ntstring.h:97;public/internal/base/inc/tstr.h:216;public/internal/base/inc/tstr.h:25;public/internal/base/inc/tstr.h:77;public/internal/com/inc/olechar.h:48;public/internal/net/inc/tstring.h:25;public/sdk/inc/crt/stdlib.h:444;public/sdk/inc/crt/stdlib.h:562;public/sdk/inc/crt/tchar.h:468;sdktools/jetadmin/inc/stdlib.h:459;sdktools/jetadmin/inc/stdlib.h:582;sdktools/jetadmin/inc/tchar.h:486;sdktools/perflog/pdlcnfig/common.h:14;sdktools/wap/crtdll/crtapi.h:168"	"resolve exact declaration/import definition and final owner; do not expand every header co-location"
"_wcsicmp"	"3"	"0"	"base/win32/server/srvinit.c"	"base/win32"	"not-host-runtime"	"not-host-runtime-source-only"	"not-host-runtime-source-only"	"none"	"caller files are selected as tool-only, guest-only, firmware-only or not-host-runtime"	"no-upstream-header-candidate"	""	""	"resolve exact declaration/import definition and final owner; do not expand every header co-location"
"_wcsnicmp"	"4"	"3"	"base/win32/client/vdm.c;base/win32/server/srvinit.c;dos/command/cmdenv.c"	"base/win32;dos"	"adapter-backed;not-host-runtime"	"public-api-or-crt-binding-candidate"	"public-win32-or-crt-binding"	"adapter-mvdm-host-out/win32"	"public API/CRT contract; same-shaped binding is sufficient unless its ABI audit records otherwise"	"upstream-header-candidates-found"	"base/crts/libw32;com/ole32/olethunk;public/internal/com;public/sdk/inc;sdktools/jetadmin/inc;sdktools/wap/crtdll"	"base/crts/libw32/include/tchar.h:226;base/crts/libw32/include/tchar.h:227;base/crts/libw32/include/wchar.h:607;base/crts/libw32/include/wchar.h:630;com/ole32/olethunk/ole16/inc/tchar.h:173;com/ole32/olethunk/ole16/inc/tchar.h:185;public/internal/com/inc/olechar.h:63;public/sdk/inc/crt/string.h:235;public/sdk/inc/crt/string.h:258;public/sdk/inc/crt/tchar.h:226;public/sdk/inc/crt/tchar.h:227;public/sdk/inc/crt/wchar.h:607;public/sdk/inc/crt/wchar.h:630;sdktools/jetadmin/inc/string.h:235;sdktools/jetadmin/inc/string.h:258;sdktools/jetadmin/inc/tchar.h:236;sdktools/jetadmin/inc/tchar.h:237;sdktools/jetadmin/inc/wchar.h:685;sdktools/jetadmin/inc/wchar.h:708;sdktools/wap/crtdll/crtapi.h:180"	"resolve exact declaration/import definition and final owner; do not expand every header co-location"
"_write"	"3"	"3"	"softpc.new/host/src/nt_rez.c"	"softpc.new"	"adapter-backed"	"public-api-or-crt-binding-candidate"	"public-win32-or-crt-binding"	"adapter-mvdm-host-out/win32"	"public API/CRT contract; same-shaped binding is sufficient unless its ABI audit records otherwise"	"upstream-header-candidates-found"	"base/crts/crtw32;base/crts/libw32;public/sdk/inc;sdktools/jetadmin/inc;sdktools/vctools/cvpack;sdktools/wap/crtdll;windows/diamond/chuck;windows/diamond/quantum"	"base/crts/crtw32/h/io.h:273;base/crts/crtw32/h/io.h:325;base/crts/crtw32/h/io.h:362;base/crts/libw32/include/io.h:199;base/crts/libw32/include/io.h:265;public/sdk/inc/crt/io.h:199;public/sdk/inc/crt/io.h:265;public/sdk/inc/diamondd.h:899;sdktools/jetadmin/inc/io.h:199;sdktools/jetadmin/inc/io.h:265;sdktools/vctools/cvpack/inlines.h:42;sdktools/wap/crtdll/crtapi.h:185;windows/diamond/chuck/fdi_int.h:707;windows/diamond/quantum/qdi.h:129;windows/diamond/quantum/qdi.h:173"	"resolve exact declaration/import definition and final owner; do not expand every header co-location"
"a3_getAF"	"1"	"0"	"softpc.new/obj.vdm/c_regs.c"	"softpc.new"	"not-host-runtime"	"not-host-runtime-source-only"	"not-host-runtime-source-only"	"none"	"caller files are selected as tool-only, guest-only, firmware-only or not-host-runtime"	"no-non-mvdm-header-candidate; macro/CRT/Win32/import/assembly/or-unresolved"	""	""	"resolve exact declaration/import definition and final owner; do not expand every header co-location"
"a3_getAH"	"1"	"0"	"softpc.new/obj.vdm/c_regs.c"	"softpc.new"	"not-host-runtime"	"not-host-runtime-source-only"	"not-host-runtime-source-only"	"none"	"caller files are selected as tool-only, guest-only, firmware-only or not-host-runtime"	"no-non-mvdm-header-candidate; macro/CRT/Win32/import/assembly/or-unresolved"	""	""	"resolve exact declaration/import definition and final owner; do not expand every header co-location"
"a3_getAL"	"1"	"0"	"softpc.new/obj.vdm/c_regs.c"	"softpc.new"	"not-host-runtime"	"not-host-runtime-source-only"	"not-host-runtime-source-only"	"none"	"caller files are selected as tool-only, guest-only, firmware-only or not-host-runtime"	"no-non-mvdm-header-candidate; macro/CRT/Win32/import/assembly/or-unresolved"	""	""	"resolve exact declaration/import definition and final owner; do not expand every header co-location"
