"interface_id"	"row_kind"	"caller_file_id"	"caller_path"	"caller_package"	"source_line"	"symbol"	"declaration_path"	"declaration_package"	"correlation"	"reachability_state"	"owner_state"	"abi_state"	"failure_state"	"evidence"
"MVDM-DECL-00011"	"lexical-declaration-candidate"	""	""	""	"18"	"hCurrentProcess"	"bde/bde.h"	"bde"	"declaration-only"	"lexical-candidate-not-source-reached"	"unassigned-pending-source-reachability"	"unreviewed"	"unreviewed"	"m0-t276-s3-textual-declaration-ledger.tsv:MVDM-DECL-00011"
"MVDM-DECL-00012"	"lexical-declaration-candidate"	""	""	""	"19"	"hCurrentThread"	"bde/bde.h"	"bde"	"declaration-only"	"lexical-candidate-not-source-reached"	"unassigned-pending-source-reachability"	"unreviewed"	"unreviewed"	"m0-t276-s3-textual-declaration-ledger.tsv:MVDM-DECL-00012"
"MVDM-DECL-00013"	"lexical-declaration-candidate"	""	""	""	"20"	"lpArgumentString"	"bde/bde.h"	"bde"	"declaration-only"	"lexical-candidate-not-source-reached"	"unassigned-pending-source-reachability"	"unreviewed"	"unreviewed"	"m0-t276-s3-textual-declaration-ledger.tsv:MVDM-DECL-00013"
"MVDM-DECL-00014"	"lexical-declaration-candidate"	""	""	""	"223"	"nDrives"	"dos/command/cmd.h"	"dos"	"declaration-only"	"lexical-candidate-not-source-reached"	"unassigned-pending-source-reachability"	"unreviewed"	"unreviewed"	"m0-t276-s3-textual-declaration-ledger.tsv:MVDM-DECL-00014"
"MVDM-DECL-00015"	"lexical-declaration-candidate"	""	""	""	"224"	"IsFirstVDMInSystem"	"dos/command/cmd.h"	"dos"	"declaration-only"	"lexical-candidate-not-source-reached"	"unassigned-pending-source-reachability"	"unreviewed"	"unreviewed"	"m0-t276-s3-textual-declaration-ledger.tsv:MVDM-DECL-00015"
"MVDM-DECL-00016"	"lexical-declaration-candidate"	""	""	""	"225"	"VDMForWOW"	"dos/command/cmd.h"	"dos"	"declaration-only"	"lexical-candidate-not-source-reached"	"unassigned-pending-source-reachability"	"unreviewed"	"unreviewed"	"m0-t276-s3-textual-declaration-ledger.tsv:MVDM-DECL-00016"
"MVDM-DECL-00017"	"lexical-declaration-candidate"	""	""	""	"226"	"lpszComSpec"	"dos/command/cmd.h"	"dos"	"declaration-only"	"lexical-candidate-not-source-reached"	"unassigned-pending-source-reachability"	"unreviewed"	"unreviewed"	"m0-t276-s3-textual-declaration-ledger.tsv:MVDM-DECL-00017"
"MVDM-DECL-00018"	"lexical-declaration-candidate"	""	""	""	"227"	"cbComSpec"	"dos/command/cmd.h"	"dos"	"declaration-only"	"lexical-candidate-not-source-reached"	"unassigned-pending-source-reachability"	"unreviewed"	"unreviewed"	"m0-t276-s3-textual-declaration-ledger.tsv:MVDM-DECL-00018"
"MVDM-DECL-00019"	"lexical-declaration-candidate"	""	""	""	"228"	"IsFirstCall"	"dos/command/cmd.h"	"dos"	"declaration-only"	"lexical-candidate-not-source-reached"	"unassigned-pending-source-reachability"	"unreviewed"	"unreviewed"	"m0-t276-s3-textual-declaration-ledger.tsv:MVDM-DECL-00019"
"MVDM-DECL-00020"	"lexical-declaration-candidate"	""	""	""	"229"	"IsRepeatCall"	"dos/command/cmd.h"	"dos"	"declaration-only"	"lexical-candidate-not-source-reached"	"unassigned-pending-source-reachability"	"unreviewed"	"unreviewed"	"m0-t276-s3-textual-declaration-ledger.tsv:MVDM-DECL-00020"
"MVDM-DECL-00021"	"lexical-declaration-candidate"	""	""	""	"230"	"IsFirstWOWCheckBinary"	"dos/command/cmd.h"	"dos"	"declaration-only"	"lexical-candidate-not-source-reached"	"unassigned-pending-source-reachability"	"unreviewed"	"unreviewed"	"m0-t276-s3-textual-declaration-ledger.tsv:MVDM-DECL-00021"
"MVDM-DECL-00022"	"lexical-declaration-candidate"	""	""	""	"231"	"IsFirstVDMInSystem"	"dos/command/cmd.h"	"dos"	"declaration-only"	"lexical-candidate-not-source-reached"	"unassigned-pending-source-reachability"	"unreviewed"	"unreviewed"	"m0-t276-s3-textual-declaration-ledger.tsv:MVDM-DECL-00022"
"MVDM-DECL-00023"	"lexical-declaration-candidate"	""	""	""	"232"	"SaveWorldCreated"	"dos/command/cmd.h"	"dos"	"declaration-only"	"lexical-candidate-not-source-reached"	"unassigned-pending-source-reachability"	"unreviewed"	"unreviewed"	"m0-t276-s3-textual-declaration-ledger.tsv:MVDM-DECL-00023"
"MVDM-DECL-00024"	"lexical-declaration-candidate"	""	""	""	"233"	"pSCS_ToSync"	"dos/command/cmd.h"	"dos"	"declaration-only"	"lexical-candidate-not-source-reached"	"unassigned-pending-source-reachability"	"unreviewed"	"unreviewed"	"m0-t276-s3-textual-declaration-ledger.tsv:MVDM-DECL-00024"
"MVDM-DECL-00025"	"lexical-declaration-candidate"	""	""	""	"234"	"fBlock"	"dos/command/cmd.h"	"dos"	"declaration-only"	"lexical-candidate-not-source-reached"	"unassigned-pending-source-reachability"	"unreviewed"	"unreviewed"	"m0-t276-s3-textual-declaration-ledger.tsv:MVDM-DECL-00025"
"MVDM-DECL-00026"	"lexical-declaration-candidate"	""	""	""	"235"	"pCommand32"	"dos/command/cmd.h"	"dos"	"declaration-only"	"lexical-candidate-not-source-reached"	"unassigned-pending-source-reachability"	"unreviewed"	"unreviewed"	"m0-t276-s3-textual-declaration-ledger.tsv:MVDM-DECL-00026"
"MVDM-DECL-00027"	"lexical-declaration-candidate"	""	""	""	"236"	"pEnv32"	"dos/command/cmd.h"	"dos"	"declaration-only"	"lexical-candidate-not-source-reached"	"unassigned-pending-source-reachability"	"unreviewed"	"unreviewed"	"m0-t276-s3-textual-declaration-ledger.tsv:MVDM-DECL-00027"
"MVDM-DECL-00028"	"lexical-declaration-candidate"	""	""	""	"237"	"dwExitCode32"	"dos/command/cmd.h"	"dos"	"declaration-only"	"lexical-candidate-not-source-reached"	"unassigned-pending-source-reachability"	"unreviewed"	"unreviewed"	"m0-t276-s3-textual-declaration-ledger.tsv:MVDM-DECL-00028"
"MVDM-DECL-00029"	"lexical-declaration-candidate"	""	""	""	"238"	"pSCSInfo"	"dos/command/cmd.h"	"dos"	"declaration-only"	"lexical-candidate-not-source-reached"	"unassigned-pending-source-reachability"	"unreviewed"	"unreviewed"	"m0-t276-s3-textual-declaration-ledger.tsv:MVDM-DECL-00029"
"MVDM-DECL-00030"	"lexical-declaration-candidate"	""	""	""	"239"	"hFileStdOut"	"dos/command/cmd.h"	"dos"	"declaration-only"	"lexical-candidate-not-source-reached"	"unassigned-pending-source-reachability"	"unreviewed"	"unreviewed"	"m0-t276-s3-textual-declaration-ledger.tsv:MVDM-DECL-00030"
"MVDM-DECL-00031"	"lexical-declaration-candidate"	""	""	""	"240"	"hFileStdOutDup"	"dos/command/cmd.h"	"dos"	"declaration-only"	"lexical-candidate-not-source-reached"	"unassigned-pending-source-reachability"	"unreviewed"	"unreviewed"	"m0-t276-s3-textual-declaration-ledger.tsv:MVDM-DECL-00031"
"MVDM-DECL-00032"	"lexical-declaration-candidate"	""	""	""	"241"	"hFileStdErr"	"dos/command/cmd.h"	"dos"	"declaration-only"	"lexical-candidate-not-source-reached"	"unassigned-pending-source-reachability"	"unreviewed"	"unreviewed"	"m0-t276-s3-textual-declaration-ledger.tsv:MVDM-DECL-00032"
"MVDM-DECL-00033"	"lexical-declaration-candidate"	""	""	""	"242"	"hFileStdErrDup"	"dos/command/cmd.h"	"dos"	"declaration-only"	"lexical-candidate-not-source-reached"	"unassigned-pending-source-reachability"	"unreviewed"	"unreviewed"	"m0-t276-s3-textual-declaration-ledger.tsv:MVDM-DECL-00033"
"MVDM-DECL-00034"	"lexical-declaration-candidate"	""	""	""	"243"	"VDMInfo"	"dos/command/cmd.h"	"dos"	"declaration-only"	"lexical-candidate-not-source-reached"	"unassigned-pending-source-reachability"	"unreviewed"	"unreviewed"	"m0-t276-s3-textual-declaration-ledger.tsv:MVDM-DECL-00034"
"MVDM-DECL-00035"	"lexical-declaration-candidate"	""	""	""	"244"	"pszFileStdOut"	"dos/command/cmd.h"	"dos"	"declaration-only"	"lexical-candidate-not-source-reached"	"unassigned-pending-source-reachability"	"unreviewed"	"unreviewed"	"m0-t276-s3-textual-declaration-ledger.tsv:MVDM-DECL-00035"
"MVDM-DECL-00036"	"lexical-declaration-candidate"	""	""	""	"245"	"pszFileStdErr"	"dos/command/cmd.h"	"dos"	"declaration-only"	"lexical-candidate-not-source-reached"	"unassigned-pending-source-reachability"	"unreviewed"	"unreviewed"	"m0-t276-s3-textual-declaration-ledger.tsv:MVDM-DECL-00036"
"MVDM-DECL-00037"	"lexical-declaration-candidate"	""	""	""	"246"	"cmdHomeDirectory"	"dos/command/cmd.h"	"dos"	"declaration-only"	"lexical-candidate-not-source-reached"	"unassigned-pending-source-reachability"	"unreviewed"	"unreviewed"	"m0-t276-s3-textual-declaration-ledger.tsv:MVDM-DECL-00037"
"MVDM-DECL-00038"	"lexical-declaration-candidate"	""	""	""	"247"	"SCS_hStdIn"	"dos/command/cmd.h"	"dos"	"declaration-only"	"lexical-candidate-not-source-reached"	"unassigned-pending-source-reachability"	"unreviewed"	"unreviewed"	"m0-t276-s3-textual-declaration-ledger.tsv:MVDM-DECL-00038"
"MVDM-DECL-00039"	"lexical-declaration-candidate"	""	""	""	"248"	"SCS_hStdOut"	"dos/command/cmd.h"	"dos"	"declaration-only"	"lexical-candidate-not-source-reached"	"unassigned-pending-source-reachability"	"unreviewed"	"unreviewed"	"m0-t276-s3-textual-declaration-ledger.tsv:MVDM-DECL-00039"
"MVDM-DECL-00040"	"lexical-declaration-candidate"	""	""	""	"249"	"SCS_hStdErr"	"dos/command/cmd.h"	"dos"	"declaration-only"	"lexical-candidate-not-source-reached"	"unassigned-pending-source-reachability"	"unreviewed"	"unreviewed"	"m0-t276-s3-textual-declaration-ledger.tsv:MVDM-DECL-00040"
"MVDM-DECL-00041"	"lexical-declaration-candidate"	""	""	""	"250"	"chDefaultDrive"	"dos/command/cmd.h"	"dos"	"declaration-only"	"lexical-candidate-not-source-reached"	"unassigned-pending-source-reachability"	"unreviewed"	"unreviewed"	"m0-t276-s3-textual-declaration-ledger.tsv:MVDM-DECL-00041"
"MVDM-DECL-00042"	"lexical-declaration-candidate"	""	""	""	"251"	"DontCheckDosBinaryType"	"dos/command/cmd.h"	"dos"	"declaration-only"	"lexical-candidate-not-source-reached"	"unassigned-pending-source-reachability"	"unreviewed"	"unreviewed"	"m0-t276-s3-textual-declaration-ledger.tsv:MVDM-DECL-00042"
"MVDM-DECL-00043"	"lexical-declaration-candidate"	""	""	""	"252"	"Exe32ActiveCount"	"dos/command/cmd.h"	"dos"	"declaration-only"	"lexical-candidate-not-source-reached"	"unassigned-pending-source-reachability"	"unreviewed"	"unreviewed"	"m0-t276-s3-textual-declaration-ledger.tsv:MVDM-DECL-00043"
"MVDM-DECL-00044"	"lexical-declaration-candidate"	""	""	""	"253"	"fSoftpcRedirection"	"dos/command/cmd.h"	"dos"	"declaration-only"	"lexical-candidate-not-source-reached"	"unassigned-pending-source-reachability"	"unreviewed"	"unreviewed"	"m0-t276-s3-textual-declaration-ledger.tsv:MVDM-DECL-00044"
"MVDM-DECL-00045"	"lexical-declaration-candidate"	""	""	""	"254"	"fSoftpcRedirectionOnShellOut"	"dos/command/cmd.h"	"dos"	"declaration-only"	"lexical-candidate-not-source-reached"	"unassigned-pending-source-reachability"	"unreviewed"	"unreviewed"	"m0-t276-s3-textual-declaration-ledger.tsv:MVDM-DECL-00045"
"MVDM-DECL-00046"	"lexical-declaration-candidate"	""	""	""	"255"	"nt_std_handle_notification"	"dos/command/cmd.h"	"dos"	"declaration-only"	"lexical-candidate-not-source-reached"	"unassigned-pending-source-reachability"	"unreviewed"	"unreviewed"	"m0-t276-s3-textual-declaration-ledger.tsv:MVDM-DECL-00046"
"MVDM-DECL-00047"	"lexical-declaration-candidate"	""	""	""	"256"	"cmdPushExitInConsoleBuffer"	"dos/command/cmd.h"	"dos"	"declaration-only"	"lexical-candidate-not-source-reached"	"unassigned-pending-source-reachability"	"unreviewed"	"unreviewed"	"m0-t276-s3-textual-declaration-ledger.tsv:MVDM-DECL-00047"
"MVDM-DECL-00048"	"lexical-declaration-candidate"	""	""	""	"260"	"CntrlHandlerState"	"dos/command/cmd.h"	"dos"	"declaration-only"	"lexical-candidate-not-source-reached"	"unassigned-pending-source-reachability"	"unreviewed"	"unreviewed"	"m0-t276-s3-textual-declaration-ledger.tsv:MVDM-DECL-00048"
"MVDM-DECL-00049"	"lexical-declaration-candidate"	""	""	""	"269"	"iWOWTaskId"	"dos/command/cmd.h"	"dos"	"declaration-only"	"lexical-candidate-not-source-reached"	"unassigned-pending-source-reachability"	"unreviewed"	"unreviewed"	"m0-t276-s3-textual-declaration-ledger.tsv:MVDM-DECL-00049"
"MVDM-DECL-00050"	"lexical-declaration-candidate"	""	""	""	"270"	"comspec"	"dos/command/cmd.h"	"dos"	"declaration-only"	"lexical-candidate-not-source-reached"	"unassigned-pending-source-reachability"	"unreviewed"	"unreviewed"	"m0-t276-s3-textual-declaration-ledger.tsv:MVDM-DECL-00050"
"MVDM-DECL-00051"	"lexical-declaration-candidate"	""	""	""	"271"	"ShortCutInfo"	"dos/command/cmd.h"	"dos"	"declaration-only"	"lexical-candidate-not-source-reached"	"unassigned-pending-source-reachability"	"unreviewed"	"unreviewed"	"m0-t276-s3-textual-declaration-ledger.tsv:MVDM-DECL-00051"
"MVDM-DECL-00052"	"lexical-declaration-candidate"	""	""	""	"273"	"nt_pif_callout"	"dos/command/cmd.h"	"dos"	"declaration-only"	"lexical-candidate-not-source-reached"	"unassigned-pending-source-reachability"	"unreviewed"	"unreviewed"	"m0-t276-s3-textual-declaration-ledger.tsv:MVDM-DECL-00052"
"MVDM-DECL-00053"	"lexical-declaration-candidate"	""	""	""	"274"	"lpszzInitEnvironment"	"dos/command/cmd.h"	"dos"	"declaration-only"	"lexical-candidate-not-source-reached"	"unassigned-pending-source-reachability"	"unreviewed"	"unreviewed"	"m0-t276-s3-textual-declaration-ledger.tsv:MVDM-DECL-00053"
"MVDM-DECL-00054"	"lexical-declaration-candidate"	""	""	""	"275"	"cchInitEnvironment"	"dos/command/cmd.h"	"dos"	"declaration-only"	"lexical-candidate-not-source-reached"	"unassigned-pending-source-reachability"	"unreviewed"	"unreviewed"	"m0-t276-s3-textual-declaration-ledger.tsv:MVDM-DECL-00054"
"MVDM-DECL-00055"	"lexical-declaration-candidate"	""	""	""	"276"	"lpszzCurrentDirectories"	"dos/command/cmd.h"	"dos"	"declaration-only"	"lexical-candidate-not-source-reached"	"unassigned-pending-source-reachability"	"unreviewed"	"unreviewed"	"m0-t276-s3-textual-declaration-ledger.tsv:MVDM-DECL-00055"
"MVDM-DECL-00056"	"lexical-declaration-candidate"	""	""	""	"277"	"cchCurrentDirectories"	"dos/command/cmd.h"	"dos"	"declaration-only"	"lexical-candidate-not-source-reached"	"unassigned-pending-source-reachability"	"unreviewed"	"unreviewed"	"m0-t276-s3-textual-declaration-ledger.tsv:MVDM-DECL-00056"
"MVDM-DECL-00057"	"lexical-declaration-candidate"	""	""	""	"278"	"pIsDosBinary"	"dos/command/cmd.h"	"dos"	"declaration-only"	"lexical-candidate-not-source-reached"	"unassigned-pending-source-reachability"	"unreviewed"	"unreviewed"	"m0-t276-s3-textual-declaration-ledger.tsv:MVDM-DECL-00057"
"MVDM-DECL-00058"	"lexical-declaration-candidate"	""	""	""	"279"	"pFDAccess"	"dos/command/cmd.h"	"dos"	"declaration-only"	"lexical-candidate-not-source-reached"	"unassigned-pending-source-reachability"	"unreviewed"	"unreviewed"	"m0-t276-s3-textual-declaration-ledger.tsv:MVDM-DECL-00058"
"MVDM-DECL-00059"	"lexical-declaration-candidate"	""	""	""	"280"	"lpszzcmdEnv16"	"dos/command/cmd.h"	"dos"	"declaration-only"	"lexical-candidate-not-source-reached"	"unassigned-pending-source-reachability"	"unreviewed"	"unreviewed"	"m0-t276-s3-textual-declaration-ledger.tsv:MVDM-DECL-00059"
"MVDM-DECL-00060"	"lexical-declaration-candidate"	""	""	""	"281"	"DosEnvCreated"	"dos/command/cmd.h"	"dos"	"declaration-only"	"lexical-candidate-not-source-reached"	"unassigned-pending-source-reachability"	"unreviewed"	"unreviewed"	"m0-t276-s3-textual-declaration-ledger.tsv:MVDM-DECL-00060"
"MVDM-DECL-00061"	"lexical-declaration-candidate"	""	""	""	"282"	"IsFirstVDM"	"dos/command/cmd.h"	"dos"	"declaration-only"	"lexical-candidate-not-source-reached"	"unassigned-pending-source-reachability"	"unreviewed"	"unreviewed"	"m0-t276-s3-textual-declaration-ledger.tsv:MVDM-DECL-00061"
"MVDM-DECL-00062"	"lexical-declaration-candidate"	""	""	""	"283"	"cmdVDMEnvBlk"	"dos/command/cmd.h"	"dos"	"declaration-only"	"lexical-candidate-not-source-reached"	"unassigned-pending-source-reachability"	"unreviewed"	"unreviewed"	"m0-t276-s3-textual-declaration-ledger.tsv:MVDM-DECL-00062"
"MVDM-DECL-00063"	"lexical-declaration-candidate"	""	""	""	"284"	"lpszzVDMEnv32"	"dos/command/cmd.h"	"dos"	"declaration-only"	"lexical-candidate-not-source-reached"	"unassigned-pending-source-reachability"	"unreviewed"	"unreviewed"	"m0-t276-s3-textual-declaration-ledger.tsv:MVDM-DECL-00063"
"MVDM-DECL-00064"	"lexical-declaration-candidate"	""	""	""	"285"	"cchVDMEnv32"	"dos/command/cmd.h"	"dos"	"declaration-only"	"lexical-candidate-not-source-reached"	"unassigned-pending-source-reachability"	"unreviewed"	"unreviewed"	"m0-t276-s3-textual-declaration-ledger.tsv:MVDM-DECL-00064"
"MVDM-DECL-00065"	"lexical-declaration-candidate"	""	""	""	"286"	"VdmExitCode"	"dos/command/cmd.h"	"dos"	"declaration-only"	"lexical-candidate-not-source-reached"	"unassigned-pending-source-reachability"	"unreviewed"	"unreviewed"	"m0-t276-s3-textual-declaration-ledger.tsv:MVDM-DECL-00065"
"MVDM-DECL-00066"	"lexical-declaration-candidate"	""	""	""	"45"	"pfdata"	"dos/command/cmdpif.h"	"dos"	"declaration-only"	"lexical-candidate-not-source-reached"	"unassigned-pending-source-reachability"	"unreviewed"	"unreviewed"	"m0-t276-s3-textual-declaration-ledger.tsv:MVDM-DECL-00066"
"MVDM-DECL-00067"	"lexical-declaration-candidate"	""	""	""	"122"	"pulDTALocation"	"dos/dem/dem.h"	"dos"	"declaration-only"	"lexical-candidate-not-source-reached"	"unassigned-pending-source-reachability"	"unreviewed"	"unreviewed"	"m0-t276-s3-textual-declaration-ledger.tsv:MVDM-DECL-00067"
"MVDM-DECL-00068"	"lexical-declaration-candidate"	""	""	""	"123"	"VDMForWOW"	"dos/dem/dem.h"	"dos"	"declaration-only"	"lexical-candidate-not-source-reached"	"unassigned-pending-source-reachability"	"unreviewed"	"unreviewed"	"m0-t276-s3-textual-declaration-ledger.tsv:MVDM-DECL-00068"
"MVDM-DECL-00069"	"lexical-declaration-candidate"	""	""	""	"124"	"pHardErrPacket"	"dos/dem/dem.h"	"dos"	"declaration-only"	"lexical-candidate-not-source-reached"	"unassigned-pending-source-reachability"	"unreviewed"	"unreviewed"	"m0-t276-s3-textual-declaration-ledger.tsv:MVDM-DECL-00069"
"MVDM-DECL-00070"	"lexical-declaration-candidate"	""	""	""	"125"	"CurrentISVC"	"dos/dem/dem.h"	"dos"	"declaration-only"	"lexical-candidate-not-source-reached"	"unassigned-pending-source-reachability"	"unreviewed"	"unreviewed"	"m0-t276-s3-textual-declaration-ledger.tsv:MVDM-DECL-00070"
"MVDM-DECL-00071"	"lexical-declaration-candidate"	""	""	""	"126"	"aSVCNames"	"dos/dem/dem.h"	"dos"	"declaration-only"	"lexical-candidate-not-source-reached"	"unassigned-pending-source-reachability"	"unreviewed"	"unreviewed"	"m0-t276-s3-textual-declaration-ledger.tsv:MVDM-DECL-00071"
"MVDM-DECL-00072"	"lexical-declaration-candidate"	""	""	""	"127"	"apfnSVC"	"dos/dem/dem.h"	"dos"	"declaration-only"	"lexical-candidate-not-source-reached"	"unassigned-pending-source-reachability"	"unreviewed"	"unreviewed"	"m0-t276-s3-textual-declaration-ledger.tsv:MVDM-DECL-00072"
"MVDM-DECL-00073"	"lexical-declaration-candidate"	""	""	""	"128"	"pszDefaultDOSDirectory"	"dos/dem/dem.h"	"dos"	"declaration-only"	"lexical-candidate-not-source-reached"	"unassigned-pending-source-reachability"	"unreviewed"	"unreviewed"	"m0-t276-s3-textual-declaration-ledger.tsv:MVDM-DECL-00073"
"MVDM-DECL-00074"	"lexical-declaration-candidate"	""	""	""	"129"	"nDrives"	"dos/dem/dem.h"	"dos"	"declaration-only"	"lexical-candidate-not-source-reached"	"unassigned-pending-source-reachability"	"unreviewed"	"unreviewed"	"m0-t276-s3-textual-declaration-ledger.tsv:MVDM-DECL-00074"
"MVDM-DECL-00075"	"lexical-declaration-candidate"	""	""	""	"130"	"pusCurrentPDB"	"dos/dem/dem.h"	"dos"	"declaration-only"	"lexical-candidate-not-source-reached"	"unassigned-pending-source-reachability"	"unreviewed"	"unreviewed"	"m0-t276-s3-textual-declaration-ledger.tsv:MVDM-DECL-00075"
"MVDM-DECL-00076"	"lexical-declaration-candidate"	""	""	""	"131"	"pExtendedError"	"dos/dem/dem.h"	"dos"	"declaration-only"	"lexical-candidate-not-source-reached"	"unassigned-pending-source-reachability"	"unreviewed"	"unreviewed"	"m0-t276-s3-textual-declaration-ledger.tsv:MVDM-DECL-00076"
"MVDM-DECL-00077"	"lexical-declaration-candidate"	""	""	""	"136"	"demDebugBuffer"	"dos/dem/dem.h"	"dos"	"declaration-only"	"lexical-candidate-not-source-reached"	"unassigned-pending-source-reachability"	"unreviewed"	"unreviewed"	"m0-t276-s3-textual-declaration-ledger.tsv:MVDM-DECL-00077"
"MVDM-DECL-00078"	"lexical-declaration-candidate"	""	""	""	"256"	"cmdPipeFileDataEOF"	"dos/dem/dem.h"	"dos"	"declaration-only"	"lexical-candidate-not-source-reached"	"unassigned-pending-source-reachability"	"unreviewed"	"unreviewed"	"m0-t276-s3-textual-declaration-ledger.tsv:MVDM-DECL-00078"
"MVDM-DECL-00079"	"lexical-declaration-candidate"	""	""	""	"257"	"cmdPipeFileEOF"	"dos/dem/dem.h"	"dos"	"declaration-only"	"lexical-candidate-not-source-reached"	"unassigned-pending-source-reachability"	"unreviewed"	"unreviewed"	"m0-t276-s3-textual-declaration-ledger.tsv:MVDM-DECL-00079"
"MVDM-DECL-00080"	"lexical-declaration-candidate"	""	""	""	"298"	"demBDS"	"dos/dem/demdasd.h"	"dos"	"declaration-only"	"lexical-candidate-not-source-reached"	"unassigned-pending-source-reachability"	"unreviewed"	"unreviewed"	"m0-t276-s3-textual-declaration-ledger.tsv:MVDM-DECL-00080"
"MVDM-DECL-00081"	"lexical-declaration-candidate"	""	""	""	"299"	"NumberOfFdisk"	"dos/dem/demdasd.h"	"dos"	"declaration-only"	"lexical-candidate-not-source-reached"	"unassigned-pending-source-reachability"	"unreviewed"	"unreviewed"	"m0-t276-s3-textual-declaration-ledger.tsv:MVDM-DECL-00081"
"MVDM-DECL-00082"	"lexical-declaration-candidate"	""	""	""	"93"	"CurrentPSPSelector"	"dpmi32/dpmi32p.h"	"dpmi32"	"declaration-only"	"lexical-candidate-not-source-reached"	"unassigned-pending-source-reachability"	"unreviewed"	"unreviewed"	"m0-t276-s3-textual-declaration-ledger.tsv:MVDM-DECL-00082"
"MVDM-DECL-00083"	"lexical-declaration-candidate"	""	""	""	"98"	"LDT_SIZE"	"dpmi32/dpmi32p.h"	"dpmi32"	"declaration-only"	"lexical-candidate-not-source-reached"	"unassigned-pending-source-reachability"	"unreviewed"	"unreviewed"	"m0-t276-s3-textual-declaration-ledger.tsv:MVDM-DECL-00083"
"MVDM-DECL-00084"	"lexical-declaration-candidate"	""	""	""	"104"	"Index"	"dpmi32/dpmi32p.h"	"dpmi32"	"declaration-only"	"lexical-candidate-not-source-reached"	"unassigned-pending-source-reachability"	"unreviewed"	"unreviewed"	"m0-t276-s3-textual-declaration-ledger.tsv:MVDM-DECL-00084"
