"audit_id"	"source_path"	"source_line"	"interface_family"	"source_token"	"original_contract"	"pointer_or_identity_lifetime"	"current_same_shaped_binding"	"required_owner_path"	"exact_unavailable_prerequisite"	"final_s2_disposition"	"source_excerpt"
"WOW-TF-01-143"	"wow32/wcall16.c"	"143"	"WOW-TF-01"	"GETVDMPTR"	"bounded VDM structure/string access"	"synchronous checked guest-memory lease; must end before callback, worker, or component return"	"no; Redirector-only prepared scope is intentionally not reusable"	"adapter-mvdm-host-out/softpc -> session.guest_memory"	"source-shaped WOW pointer scope with dynamic bounds and explicit read/write lease release"	"adapter-backed after complete scope design; no provider body enabled"	"GETVDMPTR(hMem, sizeof(*plhe), plhe);"
"WOW-TF-01-155"	"wow32/wcall16.c"	"155"	"WOW-TF-01"	"FLUSHVDMPTR"	"publish modified VDM bytes before releasing the mapping"	"must commit the matching synchronous checked lease before release"	"no; no generic code-flush or unbounded alias is admitted"	"adapter-mvdm-host-out/softpc -> session.guest_memory -> adapter-bochs"	"paired WOW pointer scope with explicit write/commit designation"	"adapter-backed after complete scope design; no provider body enabled"	"FLUSHVDMPTR((ULONG)hMem, sizeof(*plhe), plhe);"
"WOW-TF-01-156"	"wow32/wcall16.c"	"156"	"WOW-TF-01"	"FREEVDMPTR"	"end transient VDM pointer use"	"ends the matching synchronous checked lease"	"no; upstream x86 no-op is unsafe outside the historical process alias"	"adapter-mvdm-host-out/softpc -> session.guest_memory"	"paired WOW pointer scope; preserve source release ordering"	"adapter-backed after complete scope design; no provider body enabled"	"FREEVDMPTR(plhe);"
"WOW-TF-01-184"	"wow32/wcall16.c"	"184"	"WOW-TF-01"	"GETVDMPTR"	"bounded VDM structure/string access"	"synchronous checked guest-memory lease; must end before callback, worker, or component return"	"no; Redirector-only prepared scope is intentionally not reusable"	"adapter-mvdm-host-out/softpc -> session.guest_memory"	"source-shaped WOW pointer scope with dynamic bounds and explicit read/write lease release"	"adapter-backed after complete scope design; no provider body enabled"	"GETVDMPTR(hMem, sizeof(*plhe), plhe);"
"WOW-TF-01-198"	"wow32/wcall16.c"	"198"	"WOW-TF-01"	"FLUSHVDMPTR"	"publish modified VDM bytes before releasing the mapping"	"must commit the matching synchronous checked lease before release"	"no; no generic code-flush or unbounded alias is admitted"	"adapter-mvdm-host-out/softpc -> session.guest_memory -> adapter-bochs"	"paired WOW pointer scope with explicit write/commit designation"	"adapter-backed after complete scope design; no provider body enabled"	"FLUSHVDMPTR((ULONG)hMem, sizeof(*plhe), plhe);"
"WOW-TF-01-201"	"wow32/wcall16.c"	"201"	"WOW-TF-01"	"FREEVDMPTR"	"end transient VDM pointer use"	"ends the matching synchronous checked lease"	"no; upstream x86 no-op is unsafe outside the historical process alias"	"adapter-mvdm-host-out/softpc -> session.guest_memory"	"paired WOW pointer scope; preserve source release ordering"	"adapter-backed after complete scope design; no provider body enabled"	"FREEVDMPTR(plhe);"
"WOW-TF-03-221"	"wow32/wcall16.c"	"221"	"WOW-TF-03"	"CallBack16"	"construct CBVDMFRAME, enter the Win16 callback, then consume AX:DX and restore the task stack"	"parameter frame and guest frame leases end before an asynchronous operation; continuation is session-owned"	"no; current monitor intentionally has no WOW callback scheduler"	"adapter-mvdm-host-out/wow -> adapter-mvdm-host-out/monitor -> adapter-mvdm-host-out/softpc -> session"	"source-shaped single-session callback transaction with task-frame projection and typed pause/resume; no CSRSS/BaseSrv or second executor"	"unresolved whole-subdomain prerequisite; no provider body enabled"	"CallBack16(RET_LOCALSIZE, &Parm16, 0, &vp);"
"WOW-TF-03-238"	"wow32/wcall16.c"	"238"	"WOW-TF-03"	"CallBack16"	"construct CBVDMFRAME, enter the Win16 callback, then consume AX:DX and restore the task stack"	"parameter frame and guest frame leases end before an asynchronous operation; continuation is session-owned"	"no; current monitor intentionally has no WOW callback scheduler"	"adapter-mvdm-host-out/wow -> adapter-mvdm-host-out/monitor -> adapter-mvdm-host-out/softpc -> session"	"source-shaped single-session callback transaction with task-frame projection and typed pause/resume; no CSRSS/BaseSrv or second executor"	"unresolved whole-subdomain prerequisite; no provider body enabled"	"CallBack16(RET_LOCALFREE, &Parm16, 0, &vp);"
"WOW-TF-03-257"	"wow32/wcall16.c"	"257"	"WOW-TF-03"	"CallBack16"	"construct CBVDMFRAME, enter the Win16 callback, then consume AX:DX and restore the task stack"	"parameter frame and guest frame leases end before an asynchronous operation; continuation is session-owned"	"no; current monitor intentionally has no WOW callback scheduler"	"adapter-mvdm-host-out/wow -> adapter-mvdm-host-out/monitor -> adapter-mvdm-host-out/softpc -> session"	"source-shaped single-session callback transaction with task-frame projection and typed pause/resume; no CSRSS/BaseSrv or second executor"	"unresolved whole-subdomain prerequisite; no provider body enabled"	"CallBack16(RET_LOCKSEGMENT, &Parm16, 0, &vp);"
"WOW-TF-03-269"	"wow32/wcall16.c"	"269"	"WOW-TF-03"	"CallBack16"	"construct CBVDMFRAME, enter the Win16 callback, then consume AX:DX and restore the task stack"	"parameter frame and guest frame leases end before an asynchronous operation; continuation is session-owned"	"no; current monitor intentionally has no WOW callback scheduler"	"adapter-mvdm-host-out/wow -> adapter-mvdm-host-out/monitor -> adapter-mvdm-host-out/softpc -> session"	"source-shaped single-session callback transaction with task-frame projection and typed pause/resume; no CSRSS/BaseSrv or second executor"	"unresolved whole-subdomain prerequisite; no provider body enabled"	"CallBack16(RET_UNLOCKSEGMENT, &Parm16, 0, &vp);"
"WOW-TF-03-282"	"wow32/wcall16.c"	"282"	"WOW-TF-03"	"CallBack16"	"construct CBVDMFRAME, enter the Win16 callback, then consume AX:DX and restore the task stack"	"parameter frame and guest frame leases end before an asynchronous operation; continuation is session-owned"	"no; current monitor intentionally has no WOW callback scheduler"	"adapter-mvdm-host-out/wow -> adapter-mvdm-host-out/monitor -> adapter-mvdm-host-out/softpc -> session"	"source-shaped single-session callback transaction with task-frame projection and typed pause/resume; no CSRSS/BaseSrv or second executor"	"unresolved whole-subdomain prerequisite; no provider body enabled"	"CallBack16(RET_GLOBALALLOCLOCK, &Parm16, 0, &vp);"
"WOW-TF-02-290"	"wow32/wcall16.c"	"290"	"WOW-TF-02"	"CURRENTPTD"	"obtain the historical current WOW task descriptor containing numeric vpStack/vpCBStack state"	"bound session worker only; task descriptor fields are copied numeric data, never native pointers"	"no; monitor VDM_TIB does not contain the WOW task descriptor"	"adapter-mvdm-host-out/wow -> adapter-mvdm-host-out/monitor -> session"	"source-shaped one-session WOW task descriptor projection with no process-global current task"	"unresolved source-shaped interface; no provider body enabled"	"pCBFrame = CBFRAMEPTR(CURRENTPTD()->vpCBStack);"
"WOW-TF-01-292"	"wow32/wcall16.c"	"292"	"WOW-TF-01"	"FREEVDMPTR"	"end transient VDM pointer use"	"ends the matching synchronous checked lease"	"no; upstream x86 no-op is unsafe outside the historical process alias"	"adapter-mvdm-host-out/softpc -> session.guest_memory"	"paired WOW pointer scope; preserve source release ordering"	"adapter-backed after complete scope design; no provider body enabled"	"FREEVDMPTR(pCBFrame);"
"WOW-TF-03-321"	"wow32/wcall16.c"	"321"	"WOW-TF-03"	"CallBack16"	"construct CBVDMFRAME, enter the Win16 callback, then consume AX:DX and restore the task stack"	"parameter frame and guest frame leases end before an asynchronous operation; continuation is session-owned"	"no; current monitor intentionally has no WOW callback scheduler"	"adapter-mvdm-host-out/wow -> adapter-mvdm-host-out/monitor -> adapter-mvdm-host-out/softpc -> session"	"source-shaped single-session callback transaction with task-frame projection and typed pause/resume; no CSRSS/BaseSrv or second executor"	"unresolved whole-subdomain prerequisite; no provider body enabled"	"CallBack16(RET_GLOBALLOCK, &Parm16, 0, &vp);"
"WOW-TF-02-325"	"wow32/wcall16.c"	"325"	"WOW-TF-02"	"CURRENTPTD"	"obtain the historical current WOW task descriptor containing numeric vpStack/vpCBStack state"	"bound session worker only; task descriptor fields are copied numeric data, never native pointers"	"no; monitor VDM_TIB does not contain the WOW task descriptor"	"adapter-mvdm-host-out/wow -> adapter-mvdm-host-out/monitor -> session"	"source-shaped one-session WOW task descriptor projection with no process-global current task"	"unresolved source-shaped interface; no provider body enabled"	"pCBFrame = CBFRAMEPTR(CURRENTPTD()->vpCBStack);"
"WOW-TF-01-327"	"wow32/wcall16.c"	"327"	"WOW-TF-01"	"FREEVDMPTR"	"end transient VDM pointer use"	"ends the matching synchronous checked lease"	"no; upstream x86 no-op is unsafe outside the historical process alias"	"adapter-mvdm-host-out/softpc -> session.guest_memory"	"paired WOW pointer scope; preserve source release ordering"	"adapter-backed after complete scope design; no provider body enabled"	"FREEVDMPTR(pCBFrame);"
"WOW-TF-03-346"	"wow32/wcall16.c"	"346"	"WOW-TF-03"	"CallBack16"	"construct CBVDMFRAME, enter the Win16 callback, then consume AX:DX and restore the task stack"	"parameter frame and guest frame leases end before an asynchronous operation; continuation is session-owned"	"no; current monitor intentionally has no WOW callback scheduler"	"adapter-mvdm-host-out/wow -> adapter-mvdm-host-out/monitor -> adapter-mvdm-host-out/softpc -> session"	"source-shaped single-session callback transaction with task-frame projection and typed pause/resume; no CSRSS/BaseSrv or second executor"	"unresolved whole-subdomain prerequisite; no provider body enabled"	"CallBack16(RET_GLOBALUNLOCK, &Parm16, 0, &vp);"
"WOW-TF-03-358"	"wow32/wcall16.c"	"358"	"WOW-TF-03"	"CallBack16"	"construct CBVDMFRAME, enter the Win16 callback, then consume AX:DX and restore the task stack"	"parameter frame and guest frame leases end before an asynchronous operation; continuation is session-owned"	"no; current monitor intentionally has no WOW callback scheduler"	"adapter-mvdm-host-out/wow -> adapter-mvdm-host-out/monitor -> adapter-mvdm-host-out/softpc -> session"	"source-shaped single-session callback transaction with task-frame projection and typed pause/resume; no CSRSS/BaseSrv or second executor"	"unresolved whole-subdomain prerequisite; no provider body enabled"	"CallBack16(RET_GLOBALUNLOCKFREE, &Parm16, 0, &vp);"
"WOW-TF-02-392"	"wow32/wcall16.c"	"392"	"WOW-TF-02"	"CURRENTPTD"	"obtain the historical current WOW task descriptor containing numeric vpStack/vpCBStack state"	"bound session worker only; task descriptor fields are copied numeric data, never native pointers"	"no; monitor VDM_TIB does not contain the WOW task descriptor"	"adapter-mvdm-host-out/wow -> adapter-mvdm-host-out/monitor -> session"	"source-shaped one-session WOW task descriptor projection with no process-global current task"	"unresolved source-shaped interface; no provider body enabled"	"ptd = CURRENTPTD();"
"WOW-TF-03-411"	"wow32/wcall16.c"	"411"	"WOW-TF-03"	"CallBack16"	"construct CBVDMFRAME, enter the Win16 callback, then consume AX:DX and restore the task stack"	"parameter frame and guest frame leases end before an asynchronous operation; continuation is session-owned"	"no; current monitor intentionally has no WOW callback scheduler"	"adapter-mvdm-host-out/wow -> adapter-mvdm-host-out/monitor -> adapter-mvdm-host-out/softpc -> session"	"source-shaped single-session callback transaction with task-frame projection and typed pause/resume; no CSRSS/BaseSrv or second executor"	"unresolved whole-subdomain prerequisite; no provider body enabled"	"CallBack16(RET_GETEXEPTR, &Parm16, 0, &ul);"
"WOW-TF-03-438"	"wow32/wcall16.c"	"438"	"WOW-TF-03"	"CallBack16"	"construct CBVDMFRAME, enter the Win16 callback, then consume AX:DX and restore the task stack"	"parameter frame and guest frame leases end before an asynchronous operation; continuation is session-owned"	"no; current monitor intentionally has no WOW callback scheduler"	"adapter-mvdm-host-out/wow -> adapter-mvdm-host-out/monitor -> adapter-mvdm-host-out/softpc -> session"	"source-shaped single-session callback transaction with task-frame projection and typed pause/resume; no CSRSS/BaseSrv or second executor"	"unresolved whole-subdomain prerequisite; no provider body enabled"	"CallBack16(RET_GETMODULEFILENAME, &Parm16, 0, &ul );"
"WOW-TF-03-449"	"wow32/wcall16.c"	"449"	"WOW-TF-03"	"CallBack16"	"construct CBVDMFRAME, enter the Win16 callback, then consume AX:DX and restore the task stack"	"parameter frame and guest frame leases end before an asynchronous operation; continuation is session-owned"	"no; current monitor intentionally has no WOW callback scheduler"	"adapter-mvdm-host-out/wow -> adapter-mvdm-host-out/monitor -> adapter-mvdm-host-out/softpc -> session"	"source-shaped single-session callback transaction with task-frame projection and typed pause/resume; no CSRSS/BaseSrv or second executor"	"unresolved whole-subdomain prerequisite; no provider body enabled"	"CallBack16(RET_GETDOSPDB, &Parm16, 0, &dwReturn);"
"WOW-TF-03-460"	"wow32/wcall16.c"	"460"	"WOW-TF-03"	"CallBack16"	"construct CBVDMFRAME, enter the Win16 callback, then consume AX:DX and restore the task stack"	"parameter frame and guest frame leases end before an asynchronous operation; continuation is session-owned"	"no; current monitor intentionally has no WOW callback scheduler"	"adapter-mvdm-host-out/wow -> adapter-mvdm-host-out/monitor -> adapter-mvdm-host-out/softpc -> session"	"source-shaped single-session callback transaction with task-frame projection and typed pause/resume; no CSRSS/BaseSrv or second executor"	"unresolved whole-subdomain prerequisite; no provider body enabled"	"CallBack16(RET_GETDOSSFT, &Parm16, 0, &dwReturn);"
"WOW-TF-03-473"	"wow32/wcall16.c"	"473"	"WOW-TF-03"	"CallBack16"	"construct CBVDMFRAME, enter the Win16 callback, then consume AX:DX and restore the task stack"	"parameter frame and guest frame leases end before an asynchronous operation; continuation is session-owned"	"no; current monitor intentionally has no WOW callback scheduler"	"adapter-mvdm-host-out/wow -> adapter-mvdm-host-out/monitor -> adapter-mvdm-host-out/softpc -> session"	"source-shaped single-session callback transaction with task-frame projection and typed pause/resume; no CSRSS/BaseSrv or second executor"	"unresolved whole-subdomain prerequisite; no provider body enabled"	"CallBack16(RET_CHANGESELECTOR, &Parm16, 0, &vp);"
"WOW-TF-03-485"	"wow32/wcall16.c"	"485"	"WOW-TF-03"	"CallBack16"	"construct CBVDMFRAME, enter the Win16 callback, then consume AX:DX and restore the task stack"	"parameter frame and guest frame leases end before an asynchronous operation; continuation is session-owned"	"no; current monitor intentionally has no WOW callback scheduler"	"adapter-mvdm-host-out/wow -> adapter-mvdm-host-out/monitor -> adapter-mvdm-host-out/softpc -> session"	"source-shaped single-session callback transaction with task-frame projection and typed pause/resume; no CSRSS/BaseSrv or second executor"	"unresolved whole-subdomain prerequisite; no provider body enabled"	"CallBack16(RET_LOCKRESOURCE, &Parm16, 0, &vp);"
"WOW-TF-02-489"	"wow32/wcall16.c"	"489"	"WOW-TF-02"	"CURRENTPTD"	"obtain the historical current WOW task descriptor containing numeric vpStack/vpCBStack state"	"bound session worker only; task descriptor fields are copied numeric data, never native pointers"	"no; monitor VDM_TIB does not contain the WOW task descriptor"	"adapter-mvdm-host-out/wow -> adapter-mvdm-host-out/monitor -> session"	"source-shaped one-session WOW task descriptor projection with no process-global current task"	"unresolved source-shaped interface; no provider body enabled"	"pCBFrame = CBFRAMEPTR(CURRENTPTD()->vpCBStack);"
"WOW-TF-01-491"	"wow32/wcall16.c"	"491"	"WOW-TF-01"	"FREEVDMPTR"	"end transient VDM pointer use"	"ends the matching synchronous checked lease"	"no; upstream x86 no-op is unsafe outside the historical process alias"	"adapter-mvdm-host-out/softpc -> session.guest_memory"	"paired WOW pointer scope; preserve source release ordering"	"adapter-backed after complete scope design; no provider body enabled"	"FREEVDMPTR(pCBFrame);"
"WOW-TF-03-498"	"wow32/wcall16.c"	"498"	"WOW-TF-03"	"CallBack16"	"construct CBVDMFRAME, enter the Win16 callback, then consume AX:DX and restore the task stack"	"parameter frame and guest frame leases end before an asynchronous operation; continuation is session-owned"	"no; current monitor intentionally has no WOW callback scheduler"	"adapter-mvdm-host-out/wow -> adapter-mvdm-host-out/monitor -> adapter-mvdm-host-out/softpc -> session"	"source-shaped single-session callback transaction with task-frame projection and typed pause/resume; no CSRSS/BaseSrv or second executor"	"unresolved whole-subdomain prerequisite; no provider body enabled"	"DWORD WOWCallback16(DWORD vpFn, DWORD dwParam)"
"WOW-TF-03-507"	"wow32/wcall16.c"	"507"	"WOW-TF-03"	"CallBack16"	"construct CBVDMFRAME, enter the Win16 callback, then consume AX:DX and restore the task stack"	"parameter frame and guest frame leases end before an asynchronous operation; continuation is session-owned"	"no; current monitor intentionally has no WOW callback scheduler"	"adapter-mvdm-host-out/wow -> adapter-mvdm-host-out/monitor -> adapter-mvdm-host-out/softpc -> session"	"source-shaped single-session callback transaction with task-frame projection and typed pause/resume; no CSRSS/BaseSrv or second executor"	"unresolved whole-subdomain prerequisite; no provider body enabled"	"RtlCopyMemory(&Parm16.WOWCallback16.wArgs, &dwParam, sizeof(dwParam));"
"WOW-TF-03-515"	"wow32/wcall16.c"	"515"	"WOW-TF-03"	"CallBack16"	"construct CBVDMFRAME, enter the Win16 callback, then consume AX:DX and restore the task stack"	"parameter frame and guest frame leases end before an asynchronous operation; continuation is session-owned"	"no; current monitor intentionally has no WOW callback scheduler"	"adapter-mvdm-host-out/wow -> adapter-mvdm-host-out/monitor -> adapter-mvdm-host-out/softpc -> session"	"source-shaped single-session callback transaction with task-frame projection and typed pause/resume; no CSRSS/BaseSrv or second executor"	"unresolved whole-subdomain prerequisite; no provider body enabled"	"CallBack16(RET_WOWCALLBACK16, &Parm16, (VPPROC)vpFn, &vp);"
"WOW-TF-03-521"	"wow32/wcall16.c"	"521"	"WOW-TF-03"	"CallBack16"	"construct CBVDMFRAME, enter the Win16 callback, then consume AX:DX and restore the task stack"	"parameter frame and guest frame leases end before an asynchronous operation; continuation is session-owned"	"no; current monitor intentionally has no WOW callback scheduler"	"adapter-mvdm-host-out/wow -> adapter-mvdm-host-out/monitor -> adapter-mvdm-host-out/softpc -> session"	"source-shaped single-session callback transaction with task-frame projection and typed pause/resume; no CSRSS/BaseSrv or second executor"	"unresolved whole-subdomain prerequisite; no provider body enabled"	"BOOL WOWCallback16Ex("
"WOW-TF-03-554"	"wow32/wcall16.c"	"554"	"WOW-TF-03"	"CallBack16"	"construct CBVDMFRAME, enter the Win16 callback, then consume AX:DX and restore the task stack"	"parameter frame and guest frame leases end before an asynchronous operation; continuation is session-owned"	"no; current monitor intentionally has no WOW callback scheduler"	"adapter-mvdm-host-out/wow -> adapter-mvdm-host-out/monitor -> adapter-mvdm-host-out/softpc -> session"	"source-shaped single-session callback transaction with task-frame projection and typed pause/resume; no CSRSS/BaseSrv or second executor"	"unresolved whole-subdomain prerequisite; no provider body enabled"	"LOGDEBUG(LOG_ALWAYS, (""WOWCallback16V: cbArgs = %u, must be <= %u"","
"WOW-TF-03-575"	"wow32/wcall16.c"	"575"	"WOW-TF-03"	"CallBack16"	"construct CBVDMFRAME, enter the Win16 callback, then consume AX:DX and restore the task stack"	"parameter frame and guest frame leases end before an asynchronous operation; continuation is session-owned"	"no; current monitor intentionally has no WOW callback scheduler"	"adapter-mvdm-host-out/wow -> adapter-mvdm-host-out/monitor -> adapter-mvdm-host-out/softpc -> session"	"source-shaped single-session callback transaction with task-frame projection and typed pause/resume; no CSRSS/BaseSrv or second executor"	"unresolved whole-subdomain prerequisite; no provider body enabled"	"CallBack16(RET_WOWCALLBACK16, (PPARM16)pArgs, (VPPROC)vpFn, (PVPVOID)pdwRetCode);"
"WOW-TF-03-581"	"wow32/wcall16.c"	"581"	"WOW-TF-03"	"CallBack16"	"construct CBVDMFRAME, enter the Win16 callback, then consume AX:DX and restore the task stack"	"parameter frame and guest frame leases end before an asynchronous operation; continuation is session-owned"	"no; current monitor intentionally has no WOW callback scheduler"	"adapter-mvdm-host-out/wow -> adapter-mvdm-host-out/monitor -> adapter-mvdm-host-out/softpc -> session"	"source-shaped single-session callback transaction with task-frame projection and typed pause/resume; no CSRSS/BaseSrv or second executor"	"unresolved whole-subdomain prerequisite; no provider body enabled"	"BOOL CallBack16(INT iRetID, PPARM16 pParm16, VPPROC vpfnProc, PVPVOID pvpReturn)"
"WOW-TF-03-641"	"wow32/wcall16.c"	"641"	"WOW-TF-03"	"CallBack16"	"construct CBVDMFRAME, enter the Win16 callback, then consume AX:DX and restore the task stack"	"parameter frame and guest frame leases end before an asynchronous operation; continuation is session-owned"	"no; current monitor intentionally has no WOW callback scheduler"	"adapter-mvdm-host-out/wow -> adapter-mvdm-host-out/monitor -> adapter-mvdm-host-out/softpc -> session"	"source-shaped single-session callback transaction with task-frame projection and typed pause/resume; no CSRSS/BaseSrv or second executor"	"unresolved whole-subdomain prerequisite; no provider body enabled"	"""WOWCALLBACK16"",        // RET_WOWCALLBACK16"
"WOW-TF-02-663"	"wow32/wcall16.c"	"663"	"WOW-TF-02"	"CURRENTPTD"	"obtain the historical current WOW task descriptor containing numeric vpStack/vpCBStack state"	"bound session worker only; task descriptor fields are copied numeric data, never native pointers"	"no; monitor VDM_TIB does not contain the WOW task descriptor"	"adapter-mvdm-host-out/wow -> adapter-mvdm-host-out/monitor -> session"	"source-shaped one-session WOW task descriptor projection with no process-global current task"	"unresolved source-shaped interface; no provider body enabled"	"ptd = CURRENTPTD();"
"WOW-TF-02-665"	"wow32/wcall16.c"	"665"	"WOW-TF-02"	"GETFRAMEPTR"	"resolve a protected VDMFRAME/CBVDMFRAME at the current WOW task stack"	"synchronous frame lease only; VDMFRAME address remains a numeric VPVOID outside the lease"	"partial; monitor has source-shaped VDM_TIB storage but no WOW task/frame projection"	"adapter-mvdm-host-out/monitor -> adapter-mvdm-host-out/softpc -> session.guest_memory"	"complete task/frame projection and bounded protected stack-frame lease; no host TEB/CCPU stack alias"	"unresolved source-shaped interface; no provider body enabled"	"GETFRAMEPTR(ptd->vpStack, pFrame);"
"WOW-TF-02-683"	"wow32/wcall16.c"	"683"	"WOW-TF-02"	"GETFRAMEPTR"	"resolve a protected VDMFRAME/CBVDMFRAME at the current WOW task stack"	"synchronous frame lease only; VDMFRAME address remains a numeric VPVOID outside the lease"	"partial; monitor has source-shaped VDM_TIB storage but no WOW task/frame projection"	"adapter-mvdm-host-out/monitor -> adapter-mvdm-host-out/softpc -> session.guest_memory"	"complete task/frame projection and bounded protected stack-frame lease; no host TEB/CCPU stack alias"	"unresolved source-shaped interface; no provider body enabled"	"GETFRAMEPTR(ptd->vpCBStack, (PVDMFRAME)pCBFrame);"
