"source_path"	"original_subdomain"	"original_selection"	"boundary_owners"	"mapping_requirement"	"provisional_disposition"	"source_evidence"
"wow32/wgdi.c"	"gdi-and-window-object"	"active original wow32.dll source"	"adapter-wow; adapter-win32; adapter-softpc; adapter-vdm-monitor; session"	"guest-memory lease for VDM frame/guest structure access plus host-resource mapping for native identity"	"whole WOW owner package prerequisite; no body enabled"	"wow32/sources; wow32/wgdi.c source header and includes"
"wow32/wgdi31.c"	"gdi-and-window-object"	"active original wow32.dll source"	"adapter-wow; adapter-win32; adapter-softpc; adapter-vdm-monitor; session"	"guest-memory lease for VDM frame/guest structure access plus host-resource mapping for native identity"	"whole WOW owner package prerequisite; no body enabled"	"wow32/sources; wow32/wgdi31.c source header and includes"
"wow32/wgfont.c"	"gdi-and-window-object"	"active original wow32.dll source"	"adapter-wow; adapter-win32; adapter-softpc; adapter-vdm-monitor; session"	"guest-memory lease for VDM frame/guest structure access plus host-resource mapping for native identity"	"whole WOW owner package prerequisite; no body enabled"	"wow32/sources; wow32/wgfont.c source header and includes"
"wow32/wgman.c"	"gdi-and-window-object"	"active original wow32.dll source"	"adapter-wow; adapter-win32; adapter-softpc; adapter-vdm-monitor; session"	"guest-memory lease for VDM frame/guest structure access plus host-resource mapping for native identity"	"whole WOW owner package prerequisite; no body enabled"	"wow32/sources; wow32/wgman.c source header and includes"
"wow32/wgmeta.c"	"gdi-and-window-object"	"active original wow32.dll source"	"adapter-wow; adapter-win32; adapter-softpc; adapter-vdm-monitor; session"	"guest-memory lease for VDM frame/guest structure access plus host-resource mapping for native identity"	"whole WOW owner package prerequisite; no body enabled"	"wow32/sources; wow32/wgmeta.c source header and includes"
"wow32/wgpal.c"	"gdi-and-window-object"	"active original wow32.dll source"	"adapter-wow; adapter-win32; adapter-softpc; adapter-vdm-monitor; session"	"guest-memory lease for VDM frame/guest structure access plus host-resource mapping for native identity"	"whole WOW owner package prerequisite; no body enabled"	"wow32/sources; wow32/wgpal.c source header and includes"
"wow32/wgprnset.c"	"gdi-and-window-object"	"active original wow32.dll source"	"adapter-wow; adapter-win32; adapter-softpc; adapter-vdm-monitor; session"	"guest-memory lease for VDM frame/guest structure access plus host-resource mapping for native identity"	"whole WOW owner package prerequisite; no body enabled"	"wow32/sources; wow32/wgprnset.c source header and includes"
"wow32/wgtext.c"	"gdi-and-window-object"	"active original wow32.dll source"	"adapter-wow; adapter-win32; adapter-softpc; adapter-vdm-monitor; session"	"guest-memory lease for VDM frame/guest structure access plus host-resource mapping for native identity"	"whole WOW owner package prerequisite; no body enabled"	"wow32/sources; wow32/wgtext.c source header and includes"
"wow32/wheap.c"	"thunk-frame-and-structure"	"active original wow32.dll source"	"adapter-wow; adapter-softpc; adapter-vdm-monitor; session"	"guest-memory lease for VDM frame/guest structure access plus host-resource mapping for native identity"	"whole WOW owner package prerequisite; no body enabled"	"wow32/sources; wow32/wheap.c source header and includes"
"wow32/wkbman.c"	"kernel-task-and-dos-session"	"active original wow32.dll source"	"adapter-wow; adapter-win32; adapter-softpc; adapter-vdm-monitor; session"	"guest-memory lease for VDM frame/guest structure access plus host-resource mapping for native identity"	"whole WOW owner package prerequisite; no body enabled"	"wow32/sources; wow32/wkbman.c source header and includes"
"wow32/wkernel.c"	"kernel-task-and-dos-session"	"active original wow32.dll source"	"adapter-wow; adapter-win32; adapter-softpc; adapter-vdm-monitor; session"	"guest-memory lease for VDM frame/guest structure access plus host-resource mapping for native identity"	"whole WOW owner package prerequisite; no body enabled"	"wow32/sources; wow32/wkernel.c source header and includes"
"wow32/wkfileio.c"	"kernel-task-and-dos-session"	"active original wow32.dll source"	"adapter-wow; adapter-win32; adapter-softpc; adapter-vdm-monitor; session"	"guest-memory lease for VDM frame/guest structure access plus host-resource mapping for native identity"	"whole WOW owner package prerequisite; no body enabled"	"wow32/sources; wow32/wkfileio.c source header and includes"
"wow32/wkgthunk.c"	"kernel-task-and-dos-session"	"active original wow32.dll source"	"adapter-wow; adapter-win32; adapter-softpc; adapter-vdm-monitor; session"	"guest-memory lease for VDM frame/guest structure access plus host-resource mapping for native identity"	"whole WOW owner package prerequisite; no body enabled"	"wow32/sources; wow32/wkgthunk.c source header and includes"
"wow32/wkman.c"	"kernel-task-and-dos-session"	"active original wow32.dll source"	"adapter-wow; adapter-win32; adapter-softpc; adapter-vdm-monitor; session"	"guest-memory lease for VDM frame/guest structure access plus host-resource mapping for native identity"	"whole WOW owner package prerequisite; no body enabled"	"wow32/sources; wow32/wkman.c source header and includes"
"wow32/wkmem.c"	"kernel-task-and-dos-session"	"active original wow32.dll source"	"adapter-wow; adapter-win32; adapter-softpc; adapter-vdm-monitor; session"	"guest-memory lease for VDM frame/guest structure access plus host-resource mapping for native identity"	"whole WOW owner package prerequisite; no body enabled"	"wow32/sources; wow32/wkmem.c source header and includes"
"wow32/wmdisp32.c"	"message-and-window-procedure"	"active original wow32.dll source"	"adapter-wow; adapter-win32; adapter-softpc; adapter-vdm-monitor; session"	"guest-memory lease for VDM frame/guest structure access plus host-resource mapping for native identity"	"whole WOW owner package prerequisite; no body enabled"	"wow32/sources; wow32/wmdisp32.c source header and includes"
"wow32/wmmalias.c"	"multimedia"	"active original wow32.dll source"	"adapter-wow; adapter-win32; adapter-softpc; adapter-vdm-monitor; session"	"guest-memory lease for VDM frame/guest structure access plus host-resource mapping for native identity"	"whole WOW owner package prerequisite; no body enabled"	"wow32/sources; wow32/wmmalias.c source header and includes"
"wow32/wmmedia.c"	"multimedia"	"active original wow32.dll source"	"adapter-wow; adapter-win32; adapter-softpc; adapter-vdm-monitor; session"	"guest-memory lease for VDM frame/guest structure access plus host-resource mapping for native identity"	"whole WOW owner package prerequisite; no body enabled"	"wow32/sources; wow32/wmmedia.c source header and includes"
"wow32/wmmedia1.c"	"multimedia"	"active original wow32.dll source"	"adapter-wow; adapter-win32; adapter-softpc; adapter-vdm-monitor; session"	"guest-memory lease for VDM frame/guest structure access plus host-resource mapping for native identity"	"whole WOW owner package prerequisite; no body enabled"	"wow32/sources; wow32/wmmedia1.c source header and includes"
"wow32/wmmedia2.c"	"multimedia"	"active original wow32.dll source"	"adapter-wow; adapter-win32; adapter-softpc; adapter-vdm-monitor; session"	"guest-memory lease for VDM frame/guest structure access plus host-resource mapping for native identity"	"whole WOW owner package prerequisite; no body enabled"	"wow32/sources; wow32/wmmedia2.c source header and includes"
"wow32/wmmstru1.c"	"multimedia"	"active original wow32.dll source"	"adapter-wow; adapter-win32; adapter-softpc; adapter-vdm-monitor; session"	"guest-memory lease for VDM frame/guest structure access plus host-resource mapping for native identity"	"whole WOW owner package prerequisite; no body enabled"	"wow32/sources; wow32/wmmstru1.c source header and includes"
"wow32/wmmstru2.c"	"multimedia"	"active original wow32.dll source"	"adapter-wow; adapter-win32; adapter-softpc; adapter-vdm-monitor; session"	"guest-memory lease for VDM frame/guest structure access plus host-resource mapping for native identity"	"whole WOW owner package prerequisite; no body enabled"	"wow32/sources; wow32/wmmstru2.c source header and includes"
"wow32/wmmstruc.c"	"multimedia"	"active original wow32.dll source"	"adapter-wow; adapter-win32; adapter-softpc; adapter-vdm-monitor; session"	"guest-memory lease for VDM frame/guest structure access plus host-resource mapping for native identity"	"whole WOW owner package prerequisite; no body enabled"	"wow32/sources; wow32/wmmstruc.c source header and includes"
"wow32/wmsg16.c"	"message-and-window-procedure"	"active original wow32.dll source"	"adapter-wow; adapter-win32; adapter-softpc; adapter-vdm-monitor; session"	"guest-memory lease for VDM frame/guest structure access plus host-resource mapping for native identity"	"whole WOW owner package prerequisite; no body enabled"	"wow32/sources; wow32/wmsg16.c source header and includes"
"wow32/wmsgbm.c"	"message-and-window-procedure"	"active original wow32.dll source"	"adapter-wow; adapter-win32; adapter-softpc; adapter-vdm-monitor; session"	"guest-memory lease for VDM frame/guest structure access plus host-resource mapping for native identity"	"whole WOW owner package prerequisite; no body enabled"	"wow32/sources; wow32/wmsgbm.c source header and includes"
"wow32/wmsgcb.c"	"message-and-window-procedure"	"active original wow32.dll source"	"adapter-wow; adapter-win32; adapter-softpc; adapter-vdm-monitor; session"	"guest-memory lease for VDM frame/guest structure access plus host-resource mapping for native identity"	"whole WOW owner package prerequisite; no body enabled"	"wow32/sources; wow32/wmsgcb.c source header and includes"
"wow32/wmsgem.c"	"message-and-window-procedure"	"active original wow32.dll source"	"adapter-wow; adapter-win32; adapter-softpc; adapter-vdm-monitor; session"	"guest-memory lease for VDM frame/guest structure access plus host-resource mapping for native identity"	"whole WOW owner package prerequisite; no body enabled"	"wow32/sources; wow32/wmsgem.c source header and includes"
"wow32/wmsglb.c"	"message-and-window-procedure"	"active original wow32.dll source"	"adapter-wow; adapter-win32; adapter-softpc; adapter-vdm-monitor; session"	"guest-memory lease for VDM frame/guest structure access plus host-resource mapping for native identity"	"whole WOW owner package prerequisite; no body enabled"	"wow32/sources; wow32/wmsglb.c source header and includes"
"wow32/wmsgsbm.c"	"message-and-window-procedure"	"active original wow32.dll source"	"adapter-wow; adapter-win32; adapter-softpc; adapter-vdm-monitor; session"	"guest-memory lease for VDM frame/guest structure access plus host-resource mapping for native identity"	"whole WOW owner package prerequisite; no body enabled"	"wow32/sources; wow32/wmsgsbm.c source header and includes"
"wow32/wmtbl32.c"	"message-and-window-procedure"	"active original wow32.dll source"	"adapter-wow; adapter-win32; adapter-softpc; adapter-vdm-monitor; session"	"guest-memory lease for VDM frame/guest structure access plus host-resource mapping for native identity"	"whole WOW owner package prerequisite; no body enabled"	"wow32/sources; wow32/wmtbl32.c source header and includes"
"wow32/wole2.c"	"shell-ole-and-printing"	"active original wow32.dll source"	"adapter-wow; adapter-win32; adapter-softpc; adapter-vdm-monitor; session"	"guest-memory lease for converted structures plus host-resource mapping for native identity"	"whole WOW owner package prerequisite; no body enabled"	"wow32/sources; wow32/wole2.c source header and includes"
"wow32/wow32.c"	"thunk-frame-and-structure"	"active original wow32.dll source"	"adapter-wow; adapter-softpc; adapter-vdm-monitor; session"	"guest-memory lease for VDM frame/guest structure access plus host-resource mapping for native identity"	"whole WOW owner package prerequisite; no body enabled"	"wow32/sources; wow32/wow32.c source header and includes"
"wow32/wow32fax.c"	"shell-ole-and-printing"	"active original wow32.dll source"	"adapter-wow; adapter-win32; adapter-softpc; adapter-vdm-monitor; session"	"guest-memory lease for converted structures plus host-resource mapping for native identity"	"whole WOW owner package prerequisite; no body enabled"	"wow32/sources; wow32/wow32fax.c source header and includes"
"wow32/wowhooks.c"	"kernel-task-and-dos-session"	"active original wow32.dll source"	"adapter-wow; adapter-win32; adapter-softpc; adapter-vdm-monitor; session"	"guest-memory lease for VDM frame/guest structure access plus host-resource mapping for native identity"	"whole WOW owner package prerequisite; no body enabled"	"wow32/sources; wow32/wowhooks.c source header and includes"
"wow32/wowtbl.c"	"thunk-frame-and-structure"	"active original wow32.dll source"	"adapter-wow; adapter-softpc; adapter-vdm-monitor; session"	"guest-memory lease for VDM frame/guest structure access plus host-resource mapping for native identity"	"whole WOW owner package prerequisite; no body enabled"	"wow32/sources; wow32/wowtbl.c source header and includes"
"wow32/wparam.c"	"thunk-frame-and-structure"	"active original wow32.dll source"	"adapter-wow; adapter-softpc; adapter-vdm-monitor; session"	"guest-memory lease for VDM frame/guest structure access plus host-resource mapping for native identity"	"whole WOW owner package prerequisite; no body enabled"	"wow32/sources; wow32/wparam.c source header and includes"
"wow32/wreldc.c"	"gdi-and-window-object"	"active original wow32.dll source"	"adapter-wow; adapter-win32; adapter-softpc; adapter-vdm-monitor; session"	"guest-memory lease for VDM frame/guest structure access plus host-resource mapping for native identity"	"whole WOW owner package prerequisite; no body enabled"	"wow32/sources; wow32/wreldc.c source header and includes"
"wow32/wres16.c"	"thunk-frame-and-structure"	"active original wow32.dll source"	"adapter-wow; adapter-softpc; adapter-vdm-monitor; session"	"guest-memory lease for VDM frame/guest structure access plus host-resource mapping for native identity"	"whole WOW owner package prerequisite; no body enabled"	"wow32/sources; wow32/wres16.c source header and includes"
"wow32/wres32.c"	"thunk-frame-and-structure"	"active original wow32.dll source"	"adapter-wow; adapter-softpc; adapter-vdm-monitor; session"	"guest-memory lease for VDM frame/guest structure access plus host-resource mapping for native identity"	"whole WOW owner package prerequisite; no body enabled"	"wow32/sources; wow32/wres32.c source header and includes"
"wow32/wsdata.c"	"network"	"active original wow32.dll source"	"adapter-wow; adapter-win32; session"	"host-resource mapping for native socket/provider identity; copied guest buffers only"	"whole WOW owner package prerequisite; no body enabled"	"wow32/sources; wow32/wsdata.c source header and includes"
"wow32/wsext.c"	"network"	"active original wow32.dll source"	"adapter-wow; adapter-win32; session"	"host-resource mapping for native socket/provider identity; copied guest buffers only"	"whole WOW owner package prerequisite; no body enabled"	"wow32/sources; wow32/wsext.c source header and includes"
"wow32/wshell.c"	"shell-ole-and-printing"	"active original wow32.dll source"	"adapter-wow; adapter-win32; adapter-softpc; adapter-vdm-monitor; session"	"guest-memory lease for converted structures plus host-resource mapping for native identity"	"whole WOW owner package prerequisite; no body enabled"	"wow32/sources; wow32/wshell.c source header and includes"
"wow32/wsman.c"	"multimedia"	"active original wow32.dll source"	"adapter-wow; adapter-win32; adapter-softpc; adapter-vdm-monitor; session"	"guest-memory lease for VDM frame/guest structure access plus host-resource mapping for native identity"	"whole WOW owner package prerequisite; no body enabled"	"wow32/sources; wow32/wsman.c source header and includes"
"wow32/wspool.c"	"shell-ole-and-printing"	"active original wow32.dll source"	"adapter-wow; adapter-win32; adapter-softpc; adapter-vdm-monitor; session"	"guest-memory lease for converted structures plus host-resource mapping for native identity"	"whole WOW owner package prerequisite; no body enabled"	"wow32/sources; wow32/wspool.c source header and includes"
"wow32/wsraw.c"	"network"	"active original wow32.dll source"	"adapter-wow; adapter-win32; session"	"host-resource mapping for native socket/provider identity; copied guest buffers only"	"whole WOW owner package prerequisite; no body enabled"	"wow32/sources; wow32/wsraw.c source header and includes"
"wow32/wstruc.c"	"thunk-frame-and-structure"	"active original wow32.dll source"	"adapter-wow; adapter-softpc; adapter-vdm-monitor; session"	"guest-memory lease for VDM frame/guest structure access plus host-resource mapping for native identity"	"whole WOW owner package prerequisite; no body enabled"	"wow32/sources; wow32/wstruc.c source header and includes"
"wow32/wsubcls.c"	"gdi-and-window-object"	"active original wow32.dll source"	"adapter-wow; adapter-win32; adapter-softpc; adapter-vdm-monitor; session"	"guest-memory lease for VDM frame/guest structure access plus host-resource mapping for native identity"	"whole WOW owner package prerequisite; no body enabled"	"wow32/sources; wow32/wsubcls.c source header and includes"
"wow32/wthman.c"	"kernel-task-and-dos-session"	"active original wow32.dll source"	"adapter-wow; adapter-win32; adapter-softpc; adapter-vdm-monitor; session"	"guest-memory lease for VDM frame/guest structure access plus host-resource mapping for native identity"	"whole WOW owner package prerequisite; no body enabled"	"wow32/sources; wow32/wthman.c source header and includes"
"wow32/wucaret.c"	"user-interface"	"active original wow32.dll source"	"adapter-wow; adapter-win32; adapter-softpc; adapter-vdm-monitor; session"	"guest-memory lease for VDM frame/guest structure access plus host-resource mapping for native identity"	"whole WOW owner package prerequisite; no body enabled"	"wow32/sources; wow32/wucaret.c source header and includes"
"wow32/wuclass.c"	"user-interface"	"active original wow32.dll source"	"adapter-wow; adapter-win32; adapter-softpc; adapter-vdm-monitor; session"	"guest-memory lease for VDM frame/guest structure access plus host-resource mapping for native identity"	"whole WOW owner package prerequisite; no body enabled"	"wow32/sources; wow32/wuclass.c source header and includes"
"wow32/wuclip.c"	"user-interface"	"active original wow32.dll source"	"adapter-wow; adapter-win32; adapter-softpc; adapter-vdm-monitor; session"	"guest-memory lease for VDM frame/guest structure access plus host-resource mapping for native identity"	"whole WOW owner package prerequisite; no body enabled"	"wow32/sources; wow32/wuclip.c source header and includes"
"wow32/wucomm.c"	"user-interface"	"active original wow32.dll source"	"adapter-wow; adapter-win32; adapter-softpc; adapter-vdm-monitor; session"	"guest-memory lease for VDM frame/guest structure access plus host-resource mapping for native identity"	"whole WOW owner package prerequisite; no body enabled"	"wow32/sources; wow32/wucomm.c source header and includes"
"wow32/wucursor.c"	"user-interface"	"active original wow32.dll source"	"adapter-wow; adapter-win32; adapter-softpc; adapter-vdm-monitor; session"	"guest-memory lease for VDM frame/guest structure access plus host-resource mapping for native identity"	"whole WOW owner package prerequisite; no body enabled"	"wow32/sources; wow32/wucursor.c source header and includes"
"wow32/wudlg.c"	"user-interface"	"active original wow32.dll source"	"adapter-wow; adapter-win32; adapter-softpc; adapter-vdm-monitor; session"	"guest-memory lease for VDM frame/guest structure access plus host-resource mapping for native identity"	"whole WOW owner package prerequisite; no body enabled"	"wow32/sources; wow32/wudlg.c source header and includes"
"wow32/wuhook.c"	"user-interface"	"active original wow32.dll source"	"adapter-wow; adapter-win32; adapter-softpc; adapter-vdm-monitor; session"	"guest-memory lease for VDM frame/guest structure access plus host-resource mapping for native identity"	"whole WOW owner package prerequisite; no body enabled"	"wow32/sources; wow32/wuhook.c source header and includes"
"wow32/wulang.c"	"user-interface"	"active original wow32.dll source"	"adapter-wow; adapter-win32; adapter-softpc; adapter-vdm-monitor; session"	"guest-memory lease for VDM frame/guest structure access plus host-resource mapping for native identity"	"whole WOW owner package prerequisite; no body enabled"	"wow32/sources; wow32/wulang.c source header and includes"
"wow32/wuman.c"	"user-interface"	"active original wow32.dll source"	"adapter-wow; adapter-win32; adapter-softpc; adapter-vdm-monitor; session"	"guest-memory lease for VDM frame/guest structure access plus host-resource mapping for native identity"	"whole WOW owner package prerequisite; no body enabled"	"wow32/sources; wow32/wuman.c source header and includes"
"wow32/wumenu.c"	"user-interface"	"active original wow32.dll source"	"adapter-wow; adapter-win32; adapter-softpc; adapter-vdm-monitor; session"	"guest-memory lease for VDM frame/guest structure access plus host-resource mapping for native identity"	"whole WOW owner package prerequisite; no body enabled"	"wow32/sources; wow32/wumenu.c source header and includes"
"wow32/wumsg.c"	"user-interface"	"active original wow32.dll source"	"adapter-wow; adapter-win32; adapter-softpc; adapter-vdm-monitor; session"	"guest-memory lease for VDM frame/guest structure access plus host-resource mapping for native identity"	"whole WOW owner package prerequisite; no body enabled"	"wow32/sources; wow32/wumsg.c source header and includes"
"wow32/wuser.c"	"user-interface"	"active original wow32.dll source"	"adapter-wow; adapter-win32; adapter-softpc; adapter-vdm-monitor; session"	"guest-memory lease for VDM frame/guest structure access plus host-resource mapping for native identity"	"whole WOW owner package prerequisite; no body enabled"	"wow32/sources; wow32/wuser.c source header and includes"
"wow32/wuser31.c"	"user-interface"	"active original wow32.dll source"	"adapter-wow; adapter-win32; adapter-softpc; adapter-vdm-monitor; session"	"guest-memory lease for VDM frame/guest structure access plus host-resource mapping for native identity"	"whole WOW owner package prerequisite; no body enabled"	"wow32/sources; wow32/wuser31.c source header and includes"
"wow32/wusercli.c"	"user-interface"	"active original wow32.dll source"	"adapter-wow; adapter-win32; adapter-softpc; adapter-vdm-monitor; session"	"guest-memory lease for VDM frame/guest structure access plus host-resource mapping for native identity"	"whole WOW owner package prerequisite; no body enabled"	"wow32/sources; wow32/wusercli.c source header and includes"
"wow32/wutext.c"	"user-interface"	"active original wow32.dll source"	"adapter-wow; adapter-win32; adapter-softpc; adapter-vdm-monitor; session"	"guest-memory lease for VDM frame/guest structure access plus host-resource mapping for native identity"	"whole WOW owner package prerequisite; no body enabled"	"wow32/sources; wow32/wutext.c source header and includes"
"wow32/wutmr.c"	"user-interface"	"active original wow32.dll source"	"adapter-wow; adapter-win32; adapter-softpc; adapter-vdm-monitor; session"	"guest-memory lease for VDM frame/guest structure access plus host-resource mapping for native identity"	"whole WOW owner package prerequisite; no body enabled"	"wow32/sources; wow32/wutmr.c source header and includes"
"wow32/wuwind.c"	"user-interface"	"active original wow32.dll source"	"adapter-wow; adapter-win32; adapter-softpc; adapter-vdm-monitor; session"	"guest-memory lease for VDM frame/guest structure access plus host-resource mapping for native identity"	"whole WOW owner package prerequisite; no body enabled"	"wow32/sources; wow32/wuwind.c source header and includes"
