"file_id"	"source_path"	"package_root"	"file_kind"	"final_disposition"	"final_owner_or_link_boundary"	"final_change_class"	"named_adapter"	"tracker_state"	"evidence"
"MVDM-FILE-0011"	"bde/makefile"	"bde"	"resource-or-other"	"tool-only"	"independent original NTSD/WinDbg debugger extension or VDM debugging-support product; never linked into the main host runtime"	"none; byte-exact source mirror retained for separately admitted debugger-tool recovery"	"none; a future adapter-debugger requires its own whole-tool admission"	"final-file-disposition-imported; symbol-closure-not-yet-proven"	"m0-t276-final-integration-disposition-ledger.tsv:MVDM-FILE-0011"
"MVDM-FILE-0012"	"bde/precomp.h"	"bde"	"declaration"	"tool-only"	"independent original NTSD/WinDbg debugger extension or VDM debugging-support product; never linked into the main host runtime"	"none; byte-exact source mirror retained for separately admitted debugger-tool recovery"	"none; a future adapter-debugger requires its own whole-tool admission"	"final-file-disposition-imported; symbol-closure-not-yet-proven"	"m0-t276-final-integration-disposition-ledger.tsv:MVDM-FILE-0012"
"MVDM-FILE-0013"	"bde/sources"	"bde"	"resource-or-other"	"tool-only"	"independent original NTSD/WinDbg debugger extension or VDM debugging-support product; never linked into the main host runtime"	"none; byte-exact source mirror retained for separately admitted debugger-tool recovery"	"none; a future adapter-debugger requires its own whole-tool admission"	"final-file-disposition-imported; symbol-closure-not-yet-proven"	"m0-t276-final-integration-disposition-ledger.tsv:MVDM-FILE-0013"
"MVDM-FILE-0014"	"dbg/dbg.c"	"dbg"	"source"	"tool-only"	"independent original NTSD/WinDbg debugger extension or VDM debugging-support product; never linked into the main host runtime"	"none; byte-exact source mirror retained for separately admitted debugger-tool recovery"	"none; a future adapter-debugger requires its own whole-tool admission"	"final-file-disposition-imported; symbol-closure-not-yet-proven"	"m0-t276-final-integration-disposition-ledger.tsv:MVDM-FILE-0014"
"MVDM-FILE-0015"	"dbg/makefile"	"dbg"	"resource-or-other"	"tool-only"	"independent original NTSD/WinDbg debugger extension or VDM debugging-support product; never linked into the main host runtime"	"none; byte-exact source mirror retained for separately admitted debugger-tool recovery"	"none; a future adapter-debugger requires its own whole-tool admission"	"final-file-disposition-imported; symbol-closure-not-yet-proven"	"m0-t276-final-integration-disposition-ledger.tsv:MVDM-FILE-0015"
"MVDM-FILE-0016"	"dbg/sources"	"dbg"	"resource-or-other"	"tool-only"	"independent original NTSD/WinDbg debugger extension or VDM debugging-support product; never linked into the main host runtime"	"none; byte-exact source mirror retained for separately admitted debugger-tool recovery"	"none; a future adapter-debugger requires its own whole-tool admission"	"final-file-disposition-imported; symbol-closure-not-yet-proven"	"m0-t276-final-integration-disposition-ledger.tsv:MVDM-FILE-0016"
"MVDM-FILE-0017"	"dirs"	"dirs"	"build-control"	"not-host-runtime"	"retained original build-control evidence; no final host link input"	"none; byte-exact source mirror retained"	"none"	"final-file-disposition-imported; symbol-closure-not-yet-proven"	"m0-t276-final-integration-disposition-ledger.tsv:MVDM-FILE-0017"
"MVDM-FILE-0018"	"dos/command/cmd.c"	"dos"	"source"	"adapter-backed"	"opennt-mvdm-host original COMMAND provider -> adapter-bop -> adapter-softpc -> adapter-bochs; host/session capability through adapter-win32, session and adapter-redir"	"binding-only; preserve original provider algorithm, dispatcher ordering, structures and failure routes"	"adapter-bop; adapter-softpc; adapter-bochs; adapter-win32; session; adapter-redir where reached"	"final-file-disposition-imported; symbol-closure-not-yet-proven"	"m0-t276-final-integration-disposition-ledger.tsv:MVDM-FILE-0018"
"MVDM-FILE-0019"	"dos/command/cmd.h"	"dos"	"declaration"	"binding-only"	"opennt-platform-abi original DEM/COMMAND declaration surface shared by the source provider packages and same-shaped adapters"	"binding-only; preserve declaration, layout and calling-convention shape"	"adapter-bop; adapter-softpc; adapter-win32; session; adapter-redir where reached"	"final-file-disposition-imported; symbol-closure-not-yet-proven"	"m0-t276-final-integration-disposition-ledger.tsv:MVDM-FILE-0019"
"MVDM-FILE-0020"	"dos/command/cmdconf.c"	"dos"	"source"	"adapter-backed"	"opennt-mvdm-host original COMMAND provider -> adapter-bop -> adapter-softpc -> adapter-bochs; host/session capability through adapter-win32, session and adapter-redir"	"binding-only; preserve original provider algorithm, dispatcher ordering, structures and failure routes"	"adapter-bop; adapter-softpc; adapter-bochs; adapter-win32; session; adapter-redir where reached"	"final-file-disposition-imported; symbol-closure-not-yet-proven"	"m0-t276-final-integration-disposition-ledger.tsv:MVDM-FILE-0020"
"MVDM-FILE-0021"	"dos/command/cmddata.c"	"dos"	"source"	"adapter-backed"	"opennt-mvdm-host original COMMAND provider -> adapter-bop -> adapter-softpc -> adapter-bochs; host/session capability through adapter-win32, session and adapter-redir"	"binding-only; preserve original provider algorithm, dispatcher ordering, structures and failure routes"	"adapter-bop; adapter-softpc; adapter-bochs; adapter-win32; session; adapter-redir where reached"	"final-file-disposition-imported; symbol-closure-not-yet-proven"	"m0-t276-final-integration-disposition-ledger.tsv:MVDM-FILE-0021"
"MVDM-FILE-0022"	"dos/command/cmddisp.c"	"dos"	"source"	"adapter-backed"	"opennt-mvdm-host original COMMAND provider -> adapter-bop -> adapter-softpc -> adapter-bochs; host/session capability through adapter-win32, session and adapter-redir"	"binding-only; preserve original provider algorithm, dispatcher ordering, structures and failure routes"	"adapter-bop; adapter-softpc; adapter-bochs; adapter-win32; session; adapter-redir where reached"	"final-file-disposition-imported; symbol-closure-not-yet-proven"	"m0-t276-final-integration-disposition-ledger.tsv:MVDM-FILE-0022"
"MVDM-FILE-0023"	"dos/command/cmdenv.c"	"dos"	"source"	"adapter-backed"	"opennt-mvdm-host original COMMAND provider -> adapter-bop -> adapter-softpc -> adapter-bochs; host/session capability through adapter-win32, session and adapter-redir"	"binding-only; preserve original provider algorithm, dispatcher ordering, structures and failure routes"	"adapter-bop; adapter-softpc; adapter-bochs; adapter-win32; session; adapter-redir where reached"	"final-file-disposition-imported; symbol-closure-not-yet-proven"	"m0-t276-final-integration-disposition-ledger.tsv:MVDM-FILE-0023"
"MVDM-FILE-0024"	"dos/command/cmdexec.c"	"dos"	"source"	"adapter-backed"	"opennt-mvdm-host original COMMAND provider -> adapter-bop -> adapter-softpc -> adapter-bochs; host/session capability through adapter-win32, session and adapter-redir"	"binding-only; preserve original provider algorithm, dispatcher ordering, structures and failure routes"	"adapter-bop; adapter-softpc; adapter-bochs; adapter-win32; session; adapter-redir where reached"	"final-file-disposition-imported; symbol-closure-not-yet-proven"	"m0-t276-final-integration-disposition-ledger.tsv:MVDM-FILE-0024"
"MVDM-FILE-0025"	"dos/command/cmdexit.c"	"dos"	"source"	"adapter-backed"	"opennt-mvdm-host original COMMAND provider -> adapter-bop -> adapter-softpc -> adapter-bochs; host/session capability through adapter-win32, session and adapter-redir"	"binding-only; preserve original provider algorithm, dispatcher ordering, structures and failure routes"	"adapter-bop; adapter-softpc; adapter-bochs; adapter-win32; session; adapter-redir where reached"	"final-file-disposition-imported; symbol-closure-not-yet-proven"	"m0-t276-final-integration-disposition-ledger.tsv:MVDM-FILE-0025"
"MVDM-FILE-0026"	"dos/command/cmdkeyb.c"	"dos"	"source"	"adapter-backed"	"opennt-mvdm-host original COMMAND provider -> adapter-bop -> adapter-softpc -> adapter-bochs; host/session capability through adapter-win32, session and adapter-redir"	"binding-only; preserve original provider algorithm, dispatcher ordering, structures and failure routes"	"adapter-bop; adapter-softpc; adapter-bochs; adapter-win32; session; adapter-redir where reached"	"final-file-disposition-imported; symbol-closure-not-yet-proven"	"m0-t276-final-integration-disposition-ledger.tsv:MVDM-FILE-0026"
"MVDM-FILE-0027"	"dos/command/cmdkeyb.h"	"dos"	"declaration"	"binding-only"	"opennt-platform-abi original DEM/COMMAND declaration surface shared by the source provider packages and same-shaped adapters"	"binding-only; preserve declaration, layout and calling-convention shape"	"adapter-bop; adapter-softpc; adapter-win32; session; adapter-redir where reached"	"final-file-disposition-imported; symbol-closure-not-yet-proven"	"m0-t276-final-integration-disposition-ledger.tsv:MVDM-FILE-0027"
"MVDM-FILE-0028"	"dos/command/cmdmisc.c"	"dos"	"source"	"adapter-backed"	"opennt-mvdm-host original COMMAND provider -> adapter-bop -> adapter-softpc -> adapter-bochs; host/session capability through adapter-win32, session and adapter-redir"	"binding-only; preserve original provider algorithm, dispatcher ordering, structures and failure routes"	"adapter-bop; adapter-softpc; adapter-bochs; adapter-win32; session; adapter-redir where reached"	"final-file-disposition-imported; symbol-closure-not-yet-proven"	"m0-t276-final-integration-disposition-ledger.tsv:MVDM-FILE-0028"
"MVDM-FILE-0029"	"dos/command/cmdpif.c"	"dos"	"source"	"adapter-backed"	"opennt-mvdm-host original COMMAND provider -> adapter-bop -> adapter-softpc -> adapter-bochs; host/session capability through adapter-win32, session and adapter-redir"	"binding-only; preserve original provider algorithm, dispatcher ordering, structures and failure routes"	"adapter-bop; adapter-softpc; adapter-bochs; adapter-win32; session; adapter-redir where reached"	"final-file-disposition-imported; symbol-closure-not-yet-proven"	"m0-t276-final-integration-disposition-ledger.tsv:MVDM-FILE-0029"
"MVDM-FILE-0030"	"dos/command/cmdpif.h"	"dos"	"declaration"	"binding-only"	"opennt-platform-abi original DEM/COMMAND declaration surface shared by the source provider packages and same-shaped adapters"	"binding-only; preserve declaration, layout and calling-convention shape"	"adapter-bop; adapter-softpc; adapter-win32; session; adapter-redir where reached"	"final-file-disposition-imported; symbol-closure-not-yet-proven"	"m0-t276-final-integration-disposition-ledger.tsv:MVDM-FILE-0030"
"MVDM-FILE-0031"	"dos/command/cmdredir.c"	"dos"	"source"	"adapter-backed"	"opennt-mvdm-host original COMMAND provider -> adapter-bop -> adapter-softpc -> adapter-bochs; host/session capability through adapter-win32, session and adapter-redir"	"binding-only; preserve original provider algorithm, dispatcher ordering, structures and failure routes"	"adapter-bop; adapter-softpc; adapter-bochs; adapter-win32; session; adapter-redir where reached"	"final-file-disposition-imported; symbol-closure-not-yet-proven"	"m0-t276-final-integration-disposition-ledger.tsv:MVDM-FILE-0031"
"MVDM-FILE-0032"	"dos/command/makefile"	"dos"	"resource-or-other"	"not-host-runtime"	"retained original DOS package build, metadata or test evidence; no final host link input"	"none; byte-exact source mirror retained"	"none"	"final-file-disposition-imported; symbol-closure-not-yet-proven"	"m0-t276-final-integration-disposition-ledger.tsv:MVDM-FILE-0032"
"MVDM-FILE-0033"	"dos/command/sources"	"dos"	"resource-or-other"	"not-host-runtime"	"retained original DOS package build, metadata or test evidence; no final host link input"	"none; byte-exact source mirror retained"	"none"	"final-file-disposition-imported; symbol-closure-not-yet-proven"	"m0-t276-final-integration-disposition-ledger.tsv:MVDM-FILE-0033"
"MVDM-FILE-0034"	"dos/dem/dem.c"	"dos"	"source"	"adapter-backed"	"opennt-mvdm-host original DEM provider -> adapter-bop -> adapter-softpc -> adapter-bochs; host capability through adapter-win32 and session"	"binding-only; preserve original provider algorithm, dispatcher ordering, structures and failure routes"	"adapter-bop; adapter-softpc; adapter-bochs; adapter-win32; session; adapter-redir where reached"	"final-file-disposition-imported; symbol-closure-not-yet-proven"	"m0-t276-final-integration-disposition-ledger.tsv:MVDM-FILE-0034"
"MVDM-FILE-0035"	"dos/dem/dem.h"	"dos"	"declaration"	"binding-only"	"opennt-platform-abi original DEM/COMMAND declaration surface shared by the source provider packages and same-shaped adapters"	"binding-only; preserve declaration, layout and calling-convention shape"	"adapter-bop; adapter-softpc; adapter-win32; session; adapter-redir where reached"	"final-file-disposition-imported; symbol-closure-not-yet-proven"	"m0-t276-final-integration-disposition-ledger.tsv:MVDM-FILE-0035"
"MVDM-FILE-0036"	"dos/dem/demdasd.c"	"dos"	"source"	"adapter-backed"	"opennt-mvdm-host original DEM provider -> adapter-bop -> adapter-softpc -> adapter-bochs; host capability through adapter-win32 and session"	"binding-only; preserve original provider algorithm, dispatcher ordering, structures and failure routes"	"adapter-bop; adapter-softpc; adapter-bochs; adapter-win32; session; adapter-redir where reached"	"final-file-disposition-imported; symbol-closure-not-yet-proven"	"m0-t276-final-integration-disposition-ledger.tsv:MVDM-FILE-0036"
"MVDM-FILE-0037"	"dos/dem/demdasd.h"	"dos"	"declaration"	"binding-only"	"opennt-platform-abi original DEM/COMMAND declaration surface shared by the source provider packages and same-shaped adapters"	"binding-only; preserve declaration, layout and calling-convention shape"	"adapter-bop; adapter-softpc; adapter-win32; session; adapter-redir where reached"	"final-file-disposition-imported; symbol-closure-not-yet-proven"	"m0-t276-final-integration-disposition-ledger.tsv:MVDM-FILE-0037"
"MVDM-FILE-0038"	"dos/dem/demdata.c"	"dos"	"source"	"adapter-backed"	"opennt-mvdm-host original DEM provider -> adapter-bop -> adapter-softpc -> adapter-bochs; host capability through adapter-win32 and session"	"binding-only; preserve original provider algorithm, dispatcher ordering, structures and failure routes"	"adapter-bop; adapter-softpc; adapter-bochs; adapter-win32; session; adapter-redir where reached"	"final-file-disposition-imported; symbol-closure-not-yet-proven"	"m0-t276-final-integration-disposition-ledger.tsv:MVDM-FILE-0038"
"MVDM-FILE-0039"	"dos/dem/demdir.c"	"dos"	"source"	"adapter-backed"	"opennt-mvdm-host original DEM provider -> adapter-bop -> adapter-softpc -> adapter-bochs; host capability through adapter-win32 and session"	"binding-only; preserve original provider algorithm, dispatcher ordering, structures and failure routes"	"adapter-bop; adapter-softpc; adapter-bochs; adapter-win32; session; adapter-redir where reached"	"final-file-disposition-imported; symbol-closure-not-yet-proven"	"m0-t276-final-integration-disposition-ledger.tsv:MVDM-FILE-0039"
"MVDM-FILE-0040"	"dos/dem/demdisp.c"	"dos"	"source"	"adapter-backed"	"opennt-mvdm-host original DEM provider -> adapter-bop -> adapter-softpc -> adapter-bochs; host capability through adapter-win32 and session"	"binding-only; preserve original provider algorithm, dispatcher ordering, structures and failure routes"	"adapter-bop; adapter-softpc; adapter-bochs; adapter-win32; session; adapter-redir where reached"	"final-file-disposition-imported; symbol-closure-not-yet-proven"	"m0-t276-final-integration-disposition-ledger.tsv:MVDM-FILE-0040"
"MVDM-FILE-0041"	"dos/dem/demerror.c"	"dos"	"source"	"adapter-backed"	"opennt-mvdm-host original DEM provider -> adapter-bop -> adapter-softpc -> adapter-bochs; host capability through adapter-win32 and session"	"binding-only; preserve original provider algorithm, dispatcher ordering, structures and failure routes"	"adapter-bop; adapter-softpc; adapter-bochs; adapter-win32; session; adapter-redir where reached"	"final-file-disposition-imported; symbol-closure-not-yet-proven"	"m0-t276-final-integration-disposition-ledger.tsv:MVDM-FILE-0041"
"MVDM-FILE-0042"	"dos/dem/demfcb.c"	"dos"	"source"	"adapter-backed"	"opennt-mvdm-host original DEM provider -> adapter-bop -> adapter-softpc -> adapter-bochs; host capability through adapter-win32 and session"	"binding-only; preserve original provider algorithm, dispatcher ordering, structures and failure routes"	"adapter-bop; adapter-softpc; adapter-bochs; adapter-win32; session; adapter-redir where reached"	"final-file-disposition-imported; symbol-closure-not-yet-proven"	"m0-t276-final-integration-disposition-ledger.tsv:MVDM-FILE-0042"
"MVDM-FILE-0043"	"dos/dem/demfile.c"	"dos"	"source"	"adapter-backed"	"opennt-mvdm-host original DEM provider -> adapter-bop -> adapter-softpc -> adapter-bochs; host capability through adapter-win32 and session"	"binding-only; preserve original provider algorithm, dispatcher ordering, structures and failure routes"	"adapter-bop; adapter-softpc; adapter-bochs; adapter-win32; session; adapter-redir where reached"	"final-file-disposition-imported; symbol-closure-not-yet-proven"	"m0-t276-final-integration-disposition-ledger.tsv:MVDM-FILE-0043"
"MVDM-FILE-0044"	"dos/dem/demgset.c"	"dos"	"source"	"adapter-backed"	"opennt-mvdm-host original DEM provider -> adapter-bop -> adapter-softpc -> adapter-bochs; host capability through adapter-win32 and session"	"binding-only; preserve original provider algorithm, dispatcher ordering, structures and failure routes"	"adapter-bop; adapter-softpc; adapter-bochs; adapter-win32; session; adapter-redir where reached"	"final-file-disposition-imported; symbol-closure-not-yet-proven"	"m0-t276-final-integration-disposition-ledger.tsv:MVDM-FILE-0044"
"MVDM-FILE-0045"	"dos/dem/demhndl.c"	"dos"	"source"	"adapter-backed"	"opennt-mvdm-host original DEM provider -> adapter-bop -> adapter-softpc -> adapter-bochs; host capability through adapter-win32 and session"	"binding-only; preserve original provider algorithm, dispatcher ordering, structures and failure routes"	"adapter-bop; adapter-softpc; adapter-bochs; adapter-win32; session; adapter-redir where reached"	"final-file-disposition-imported; symbol-closure-not-yet-proven"	"m0-t276-final-integration-disposition-ledger.tsv:MVDM-FILE-0045"
"MVDM-FILE-0046"	"dos/dem/demioctl.c"	"dos"	"source"	"adapter-backed"	"opennt-mvdm-host original DEM provider -> adapter-bop -> adapter-softpc -> adapter-bochs; host capability through adapter-win32 and session"	"binding-only; preserve original provider algorithm, dispatcher ordering, structures and failure routes"	"adapter-bop; adapter-softpc; adapter-bochs; adapter-win32; session; adapter-redir where reached"	"final-file-disposition-imported; symbol-closure-not-yet-proven"	"m0-t276-final-integration-disposition-ledger.tsv:MVDM-FILE-0046"
"MVDM-FILE-0047"	"dos/dem/demlabel.c"	"dos"	"source"	"adapter-backed"	"opennt-mvdm-host original DEM provider -> adapter-bop -> adapter-softpc -> adapter-bochs; host capability through adapter-win32 and session"	"binding-only; preserve original provider algorithm, dispatcher ordering, structures and failure routes"	"adapter-bop; adapter-softpc; adapter-bochs; adapter-win32; session; adapter-redir where reached"	"final-file-disposition-imported; symbol-closure-not-yet-proven"	"m0-t276-final-integration-disposition-ledger.tsv:MVDM-FILE-0047"
"MVDM-FILE-0048"	"dos/dem/demlock.c"	"dos"	"source"	"adapter-backed"	"opennt-mvdm-host original DEM provider -> adapter-bop -> adapter-softpc -> adapter-bochs; host capability through adapter-win32 and session"	"binding-only; preserve original provider algorithm, dispatcher ordering, structures and failure routes"	"adapter-bop; adapter-softpc; adapter-bochs; adapter-win32; session; adapter-redir where reached"	"final-file-disposition-imported; symbol-closure-not-yet-proven"	"m0-t276-final-integration-disposition-ledger.tsv:MVDM-FILE-0048"
"MVDM-FILE-0049"	"dos/dem/demmisc.c"	"dos"	"source"	"adapter-backed"	"opennt-mvdm-host original DEM provider -> adapter-bop -> adapter-softpc -> adapter-bochs; host capability through adapter-win32 and session"	"binding-only; preserve original provider algorithm, dispatcher ordering, structures and failure routes"	"adapter-bop; adapter-softpc; adapter-bochs; adapter-win32; session; adapter-redir where reached"	"final-file-disposition-imported; symbol-closure-not-yet-proven"	"m0-t276-final-integration-disposition-ledger.tsv:MVDM-FILE-0049"
"MVDM-FILE-0050"	"dos/dem/demmsg.c"	"dos"	"source"	"adapter-backed"	"opennt-mvdm-host original DEM provider -> adapter-bop -> adapter-softpc -> adapter-bochs; host capability through adapter-win32 and session"	"binding-only; preserve original provider algorithm, dispatcher ordering, structures and failure routes"	"adapter-bop; adapter-softpc; adapter-bochs; adapter-win32; session; adapter-redir where reached"	"final-file-disposition-imported; symbol-closure-not-yet-proven"	"m0-t276-final-integration-disposition-ledger.tsv:MVDM-FILE-0050"
"MVDM-FILE-0051"	"dos/dem/demmsg.h"	"dos"	"declaration"	"binding-only"	"opennt-platform-abi original DEM/COMMAND declaration surface shared by the source provider packages and same-shaped adapters"	"binding-only; preserve declaration, layout and calling-convention shape"	"adapter-bop; adapter-softpc; adapter-win32; session; adapter-redir where reached"	"final-file-disposition-imported; symbol-closure-not-yet-proven"	"m0-t276-final-integration-disposition-ledger.tsv:MVDM-FILE-0051"
"MVDM-FILE-0052"	"dos/dem/demsrch.c"	"dos"	"source"	"adapter-backed"	"opennt-mvdm-host original DEM provider -> adapter-bop -> adapter-softpc -> adapter-bochs; host capability through adapter-win32 and session"	"binding-only; preserve original provider algorithm, dispatcher ordering, structures and failure routes"	"adapter-bop; adapter-softpc; adapter-bochs; adapter-win32; session; adapter-redir where reached"	"final-file-disposition-imported; symbol-closure-not-yet-proven"	"m0-t276-final-integration-disposition-ledger.tsv:MVDM-FILE-0052"
"MVDM-FILE-0053"	"dos/dem/dosdef.h"	"dos"	"declaration"	"binding-only"	"opennt-platform-abi original DEM/COMMAND declaration surface shared by the source provider packages and same-shaped adapters"	"binding-only; preserve declaration, layout and calling-convention shape"	"adapter-bop; adapter-softpc; adapter-win32; session; adapter-redir where reached"	"final-file-disposition-imported; symbol-closure-not-yet-proven"	"m0-t276-final-integration-disposition-ledger.tsv:MVDM-FILE-0053"
"MVDM-FILE-0054"	"dos/dem/makefile"	"dos"	"resource-or-other"	"not-host-runtime"	"retained original DOS package build, metadata or test evidence; no final host link input"	"none; byte-exact source mirror retained"	"none"	"final-file-disposition-imported; symbol-closure-not-yet-proven"	"m0-t276-final-integration-disposition-ledger.tsv:MVDM-FILE-0054"
"MVDM-FILE-0055"	"dos/dem/sources"	"dos"	"resource-or-other"	"not-host-runtime"	"retained original DOS package build, metadata or test evidence; no final host link input"	"none; byte-exact source mirror retained"	"none"	"final-file-disposition-imported; symbol-closure-not-yet-proven"	"m0-t276-final-integration-disposition-ledger.tsv:MVDM-FILE-0055"
"MVDM-FILE-0056"	"dos/dirs"	"dos"	"resource-or-other"	"not-host-runtime"	"retained original DOS package build, metadata or test evidence; no final host link input"	"none; byte-exact source mirror retained"	"none"	"final-file-disposition-imported; symbol-closure-not-yet-proven"	"m0-t276-final-integration-disposition-ledger.tsv:MVDM-FILE-0056"
"MVDM-FILE-0057"	"dos/test/test.bat"	"dos"	"resource-or-other"	"not-host-runtime"	"retained original DOS package build, metadata or test evidence; no final host link input"	"none; byte-exact source mirror retained"	"none"	"final-file-disposition-imported; symbol-closure-not-yet-proven"	"m0-t276-final-integration-disposition-ledger.tsv:MVDM-FILE-0057"
"MVDM-FILE-0058"	"dpmi/486/dosx.exe"	"dpmi"	"resource-or-other"	"guest-only"	"opennt-guest-dos DOSX/DPMI guest product; loaded immutable guest bytes, never a host link input"	"none; byte-exact guest source, build input or artifact retained"	"adapter-bop; adapter-softpc; adapter-vdm-monitor; adapter-bochs at the historical guest boundary only"	"final-file-disposition-imported; symbol-closure-not-yet-proven"	"m0-t276-final-integration-disposition-ledger.tsv:MVDM-FILE-0058"
"MVDM-FILE-0059"	"dpmi/486/dosx.map"	"dpmi"	"resource-or-other"	"guest-only"	"opennt-guest-dos DOSX/DPMI guest product; loaded immutable guest bytes, never a host link input"	"none; byte-exact guest source, build input or artifact retained"	"adapter-bop; adapter-softpc; adapter-vdm-monitor; adapter-bochs at the historical guest boundary only"	"final-file-disposition-imported; symbol-closure-not-yet-proven"	"m0-t276-final-integration-disposition-ledger.tsv:MVDM-FILE-0059"
"MVDM-FILE-0060"	"dpmi/486/dosx.sym"	"dpmi"	"resource-or-other"	"guest-only"	"opennt-guest-dos DOSX/DPMI guest product; loaded immutable guest bytes, never a host link input"	"none; byte-exact guest source, build input or artifact retained"	"adapter-bop; adapter-softpc; adapter-vdm-monitor; adapter-bochs at the historical guest boundary only"	"final-file-disposition-imported; symbol-closure-not-yet-proven"	"m0-t276-final-integration-disposition-ledger.tsv:MVDM-FILE-0060"
"MVDM-FILE-0061"	"dpmi/486/dxboot.asm"	"dpmi"	"source"	"guest-only"	"opennt-guest-dos DOSX/DPMI guest product; loaded immutable guest bytes, never a host link input"	"none; byte-exact guest source, build input or artifact retained"	"adapter-bop; adapter-softpc; adapter-vdm-monitor; adapter-bochs at the historical guest boundary only"	"final-file-disposition-imported; symbol-closure-not-yet-proven"	"m0-t276-final-integration-disposition-ledger.tsv:MVDM-FILE-0061"
