"binding_id"	"source_function_or_span"	"original_external_contract"	"declaration_or_source_anchor"	"final_owner"	"disposition"	"preserved_failure_or_non_enablement_contract"	"mapping_or_width_rule"	"s2_result"
"T285-S2-012"	"MS_bop_8; ISV_*"	"guest string pointers, LoadLibrary/GetProcAddress/FreeLibrary, FARPROC call and TerminateVDM"	"nt_bop.c:591-943"	"adapter-mvdm-host-out/vdd; adapter-mvdm-host-out/win32; session"	"later-owner"	"Registration keeps original CF/AX error values and invalid-handle termination semantics only when the VDD package is admitted."	"Guest strings require bounded leases; module/export identities are host_resource mappings; callbacks use completion_callback."	"explicit transfer"
"T285-S2-013"	"MS_bop_9"	"host_direct_access_error((ULONG)getAX())"	"error.h; nt_error.c; nt_bop.c:626-630"	"T285 S6 original host capability control via adapter-mvdm-host-out/win32 and session"	"later-owner"	"Preserve AX reason, per-session duplicate suppression, Ignore resume, and typed VDM-only stop; never unconditional Ignore or host termination."	"No native identity crosses the error call."	"explicit transfer"
"T285-S2-014"	"MS_bop_A"	"WaitIfIdle()/WakeUpNow() selected by AX"	"host_def.h; nt_unix.c; nt_bop.c:637-660"	"T285 S6 host capability control and session"	"later-owner"	"Keep AX=0 idle, AX=1 wake behavior; malformed AX stays diagnostic-only in non-PROD."	"Session event identity remains session-owned."	"explicit transfer"
"T285-S2-015"	"MS_bop_B"	"OutputDebugString + DbgBreakPoint"	"windows.h; nt_bop.c:664-670"	"adapter-mvdm-host-out/debugger; adapter-mvdm-host-out/win32"	"later-owner"	"No debugger trap is enabled in the retail product route."	"No mapping required."	"explicit transfer"
"T285-S2-016"	"MS_bop_C"	"illegal_bop()"	"bios.h; nt_bop.c:673-677"	"adapter-mvdm-host-out/monitor"	"later-owner"	"Retain explicit illegal-BOP handling; do not treat it as success."	"No mapping required."	"explicit transfer"
"T285-S2-017"	"MS_bop_D"	"MonitorEndIretHook; ica_iret_hook_called; guest byte read"	"monitorp.h; nt_bop.c:681-709"	"adapter-mvdm-host-out/monitor; adapter-mvdm-host-out/softpc; adapter-bochs"	"later-owner"	"Without MONITOR the original path is illegal_bop; no monitor behavior is inferred."	"Index byte needs exact guest_memory lease; no direct Bochs access."	"explicit transfer"
"T285-S2-018"	"MS_bop_E"	"UMBNotify(0); demDasdInit()"	"nt_umb.c; demdasd.h; nt_bop.c:713-726"	"future original XMS package; T285 S5 DEM device/state"	"later-owner"	"Only code 0 invokes both in original order; other codes remain diagnostic-only."	"UMB backing uses guest numeric addresses and the guest_memory mapping manager, never PVOID aliasing."	"explicit transfer"
"T285-S2-019"	"MS_bop_F"	"kb_setup_vectors; ICA lock/restart; setCF; monitor iret data"	"keybd_io.c; ica headers; nt_bop.c:730-779"	"adapter-mvdm-host-out/monitor; adapter-bochs"	"later-owner"	"No keyboard/interrupt provider is enabled; original CF differs by MONITOR configuration and must be retained with that owner."	"DS:DI IRET data remains guest numeric data under a bounded lease."	"explicit transfer"
"T285-S2-020"	"SafeLoadLibrary (i386 only)"	"FSAVE/LoadLibrary/FRSTOR wrapper"	"nt_bop.c:945-970; host_def.h"	"adapter-mvdm-host-out/win32; adapter-bochs FPU boundary"	"overlay-required"	"Dynamic loading is disabled until the dependent WOW/Redirector/VDD owner is admitted; a future x86 wrapper must preserve guest FPU state without using mirror-local inline assembly on x64."	"Native HINSTANCE is host_resource-only."	"explicit non-link"
"T285-S2-021"	"translation-unit globals"	"hWOWDll/hVdmRedir, Vr* exports, ISV table and provider initialization flags"	"nt_bop.c:161-171, 344-388, 781-799"	"respective WOW/Redirector/VDD owner packages"	"later-owner"	"Do not make process-global host handles/callbacks active in the one-session route before their provider package is admitted."	"All durable host identities must be session mappings, not original raw globals."	"explicit transfer"
